Station,Adresse,Laenge,Breite,Datum Ankunft,Datum Abreise
Berlin,Schiffbauerdamm 15,13.38312,52.52034,06.05.2014, 11.05.2014 
Potsdam,"Yachthafen, Kastanienallee",13.02937,52.38665,12.05.2014, 14.05.2014
Magdeburg,Wissenschaftshafen,11.65945,52.14623,16.05.2014, 17.05.2014 
Magdeburg,"Am Petriförder, Weiße Flotte",11.64746,52.13248,18.05.2014, 19.05.2014
Dessau,Liegestelle am Kornhaus,12.217213,51.856905,20.05.2014, 22.05.2014
Haldensleben,Anleger Fahrgastschiff Roland,11.402229,52.281327,23.05.2014, 25.05.2014 
Bremen,Liegestelle “Tiefer”,8.808999,53.071640,30.05.2014, 01.06.2014 
Nienburg,"Linke Weserseite, oberhalb der Weserbrücke",9.203634,52.644804,03.06.2014, 05.06.2014 
Oldenburg,Alter Stadthafen,8.223742,53.140507,07.06.2014, 08.06.2014 
Papenburg,Liegestelle im Devernhafen,7.379200,53.089486,10.06.2014, 12.06.2014 
Münster,Stadthafen,7.646613,51.950823,14.06.2014, 16.06.2014 
Datteln,Liegehafen Hubertusstraße,7.362573,51.653893,17.06.2014, 19.06.2014 
Dortmund,Stadthafen,7.441669,51.525183,20.06.2014, 23.06.2014 
Oberhausen,"Am Kaisergarten, Rhein-Herne-Kanal",6.860091,51.493392,24.06.2014, 26.06.2014 
Duisburg,Innenhafen,6.760756,51.437479,27.06.2014, 29.06.2014 
Bonn,Brassertufer,7.108091,50.736881,30.06.2014, 02.07.2014 
Bonn,Stresemannufer,7.125644,50.720163,03.07.2014, 03.07.2014 
Andernach,"Rheinpromenade, Konrad-Adenauer-Allee",7.402773,50.442135,04.07.2014, 06.07.2014 
Cochem,"Cond, Stadionstraße",7.170966,50.155263,07.07.2014, 09.07.2014 
Trier,Kaiser-Wilhelm-Brücke,6.633669,49.764416,11.07.2014, 13.07.2014 
Mettlach,Anleger an der Oktavienstraße,6.579968,49.491160,14.07.2014, 16.07.2014 
Saarbrücken,Berliner Promenade,6.993299,49.232255,17.07.2014, 23.07.2014 
Saarburg,Städtische Liegestelle unter der Saarbrücke,6.558114,49.609775,24.07.2014, 25.07.2014 
Bernkastel-Kues,"Uferpromenade, Bahnhofstraße",7.073807,49.915839,26.07.2014, 27.07.2014 
Koblenz,Peter-Altmeier-Ufer,7.602509,50.363470,29.07.2014, 31.07.2014 
Gernsheim,"Rheinanleger, Schifferstraße",8.476018,49.754511,01.08.2014, 03.08.2014 
Mannheim,"Lindenhof, Rheinpromenade",8.462407,49.475963,04.08.2014, 07.08.2014 
Wiesbaden,Biebrich-Rheingaustraße,8.237163,50.035685,08.08.2014, 11.08.2014 
Frankfurt,Eiserner Steg,8.681957,50.107440,12.08.2014, 14.08.2014 
Miltenberg,Liegestelle am Minigolfplatz,9.263468,49.717385,,15.08.2014, 17.08.2014 
Lohr,Am Mainkai,9.580993,49.993185,18.08.2014, 20.08.2014 
Würzburg,"Viehmarkt, Dreikronenstraße",9.923881,49.798310,21.08.2014, 24.08.2014 
Schweinfurt,Am unteren Marienbach,10.240004,50.044293,26.08.2014, 28.08.2014 
Bamberg,Schleuse Bamberg,10.782355,49.924619,29.08.2014, 31.08.2014 
Linz,Liegestelle am Ars Electronica Center,14.286929,48.310300,04.09.2014, 07.09.2014 
Krems,Schiffsstation Krems/Stein,15.588248,48.402385,09.09.2014, 11.09.2014 
Wien,Handelskai,16.388483,48.241158,12.09.2014, 16.09.2014 
Deggendorf,Städtischer Anleger,12.953448,48.827651,19.09.2014, 21.09.2014 
Regensburg,"Werftstraße, Anleger “Wili”",12.104333,49.020888,22.09.2014, 24.09.2014 
Forchheim,"Main-Donau-Kanal, Austraße",11.053331,49.728565,26.09.2014, 28.09.2014 
