page_title,longitude,latitude,hitcount
Zoologischer Garten Berlin,52.5083,13.3375,2932
Königliche Porzellan-Manufaktur Berlin,52.515,13.3333,1634
Boulevard der Stars,52.5093,13.3743,1373
Deutsches Technikmuseum Berlin,52.4986,13.3775,1129
Haus der Kulturen der Welt,52.518889,13.365278,1128
Berliner Dom,52.519167,13.401111,1069
Kunsthaus Tacheles,52.5258,13.3888,1068
Berliner Philharmonie,52.509167,13.369722,1029
Aquarium Berlin,52.5058,13.3406,1028
Deutsches Theater Berlin,52.524444,13.382222,1027
Französischer Dom,52.5144,13.3922,607
SO36,52.5003,13.4222,489
Kulturbrauerei,52.5389,13.4136,478
Bethanien (Berlin),52.5039,13.4244,430
Nollendorfplatz,52.4992,13.3539,426
Köpi,52.5078,13.4261,422
Eisfabrik (Berlin-Mitte),52.5096,13.4261,346
Luftbrückendenkmal,52.4842,13.3875,317
C-base,52.5131,13.4197,305
Museum für Fotografie (Berlin),52.5077,13.3318,303
Denkmal für die im Nationalsozialismus verfolgten Homosexuellen,52.5133,13.3763,295
