filters	page_title	page_id	page_namespace
"Geotags (52.4957,13.4507)
Page Hits (count: 27263)"	Berliner Mauer	549	0
"Geotags (52.5186,13.3761)
Page Hits (count: 7319)"	Reichstagsgebäude	78509	0
"Geotags (52.5167,13.3667)
Page Hits (count: 6060)"	Liste der Bezirke und Ortsteile Berlins	3770	0
"Geotags (52.5147,13.3994)
Page Hits (count: 3799)"	Auswärtiges Amt	11259	0
"Geotags (52.5074,13.3904)
Page Hits (count: 3585)"	Checkpoint Charlie	69413	0
"Geotags (52.5265,13.3997)
Page Hits (count: 3237)"	Europa-Union Deutschland	346785	0
"Geotags (52.5047,13.3353)
Page Hits (count: 3129)"	Kaiser-Wilhelm-Gedächtniskirche	114665	0
"Geotags (52.5236,13.3476)
Page Hits (count: 2267)"	Bundesministerium des Innern	28982	0
"Geotags (52.5295,13.3737)
Page Hits (count: 1774)"	Bundesministerium für Wirtschaft und Energie	997002	0
"Geotags (52.5175,13.3533)
Page Hits (count: 1765)"	Schloss Bellevue	136248	0
"Geotags (52.5131,13.3831)
Page Hits (count: 1747)"	Bundesministerium für Arbeit und Soziales	997024	0
"Geotags (52.5171,13.408)
Page Hits (count: 1558)"	Groß-Berlin	106440	0
"Geotags (52.5186,13.4083)
Page Hits (count: 1345)"	Rotes Rathaus	336707	0
"Geotags (52.5258,13.3888)
Page Hits (count: 1068)"	Kunsthaus Tacheles	1390834	0
"Geotags (52.5092,13.3814)
Page Hits (count: 965)"	Preußisches Herrenhaus	108422	0
"Geotags (52.5122,13.3887)
Page Hits (count: 793)"	Deutsches Institut für Wirtschaftsforschung	1797723	0
"Geotags (52.535,13.3897)
Page Hits (count: 698)"	Bernauer Straße	818361	0
"Geotags (52.5122,13.3887)
Page Hits (count: 681)"	Sozio-oekonomisches Panel	430119	0
"Geotags (49.35,8.15)
Page Hits (count: 612)"	Liste der kreisfreien Städte in Deutschland	30223	0
"Geotags (52.5203,13.3747)
Page Hits (count: 588)"	Paul-Löbe-Haus	1023120	0
"Geotags (52.5164,13.4)
Page Hits (count: 582)"	Kaiser-Wilhelm-Nationaldenkmal	1077748	0
"Geotags (52.4981,13.3215)
Page Hits (count: 554)"	Stiftung Wissenschaft und Politik	698416	0
"Geotags (52.5186,13.3761)
Page Hits (count: 535)"	Fahne der Einheit	1096686	0
"Geotags (52.5144,13.3872)
Page Hits (count: 531)"	Schuldenuhr	727004	0
"Geotags (52.5087,13.3841)
Page Hits (count: 515)"	Detlev-Rohwedder-Haus	1090169	0
"Geotags (52.5087,13.3463)
Page Hits (count: 475)"	Deutsche Gesellschaft für Auswärtige Politik	821417	0
"Geotags (52.5164,13.4108)
Page Hits (count: 442)"	Altes Stadthaus (Berlin)	1132411	0
"Geotags (52.5183,13.4042)
Page Hits (count: 428)"	Marx-Engels-Forum	840147	0
"Geotags (52.5078,13.4261)
Page Hits (count: 422)"	Köpi	1239669	0
"Geotags (52.514,13.3997)
Page Hits (count: 418)"	Haus am Werderschen Markt	2866711	0
"Geotags (52.5061,13.3856)
Page Hits (count: 394)"	Prinz-Albrecht-Palais	475009	0
"Geotags (52.5108,13.375)
Page Hits (count: 384)"	Lenné-Dreieck	561407	0
"Geotags (52.5269,13.3861)
Page Hits (count: 378)"	Ständige Vertretungen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik	1835745	0
"Geotags (52.5266,13.3998)
Page Hits (count: 362)"	Europäische Bewegung Deutschland	976207	0
"Geotags (52.5203,13.3778)
Page Hits (count: 359)"	Marie-Elisabeth-Lüders-Haus	1125813	0
"Geotags (52.4948,13.3341)
Page Hits (count: 327)"	Mykonos-Attentat	360075	0
"Geotags (52.5042,13.4242)
Page Hits (count: 326)"	Georg-von-Rauch-Haus	297773	0
"Geotags (52.5261,13.4131)
Page Hits (count: 326)"	Karl-Liebknecht-Haus	422810	0
"Geotags (52.496,13.3412)
Page Hits (count: 314)"	Lette-Verein	648693	0
"Geotags (52.5158,13.3497)
Page Hits (count: 312)"	Bismarck-Nationaldenkmal	1416850	0
"Geotags (52.5547,13.3986)
Page Hits (count: 309)"	Grenzübergang Bornholmer Straße	251798	0
"Geotags (52.5186,13.4283)
Page Hits (count: 299)"	Strausberger Platz	1668691	0
"Geotags (52.5064,13.3658)
Page Hits (count: 299)"	Wissenschaftszentrum Berlin für Sozialforschung	682184	0
"Geotags (52.5133,13.3763)
Page Hits (count: 295)"	Denkmal für die im Nationalsozialismus verfolgten Homosexuellen	1222996	0
