page_title,latitude,longitude,hitcount

Stiftung Warentest,52.5042,13.3533,3425
Kaufhaus des Westens,52.5017,13.3411,2307
Bombardier Transportation,52.5018,13.3758,1936
Sony Center,52.51,13.3736,1203
Landesbank Berlin,52.5208,13.4137,1144
Norisbank,52.509,13.3299,924
Schuldenuhr,52.5144,13.3872,53
Berliner Bank,52.5081,13.3291,431


Reichsnährstand,52.504,13.3783,390
Dapd Nachrichtenagentur,52.5224,13.378,351
Debis-Haus,52.5058,13.3728,311
Wohnstadt Carl Legien,52.5464,13.4328,306
Reichsministerium für Ernährung und Landwirtschaft,52.5153,13.3811,278
Börse Berlin,52.5067,13.3283,255
Mossehaus,52.5087,13.3967,230
Gesellschaft zur Verfolgung von Urheberrechtsverletzungen,52.524,13.3281,226
Westin Grand Berlin,52.5161,13.3886,190
Haus der Elektroindustrie,52.5236,13.4153,146
"Deutsche Gesellschaft der Plastischen, Rekonstruktiven und Ästhetischen Chirurgen",52.5258,13.3795,137
Vox-Haus,52.5088,13.375,121
Gebäudekomplex der Deutschen Bank,52.515,13.3854,96
Knoblauchhaus,52.5164,13.4069,85

Alte Börse (Lustgarten),52.5197,13.4006,84

Beamtentor,52.5439,13.3914,78
Rat für Sozial- und Wirtschaftsdaten,52.5122,13.3887,73
Alter Packhof (Berlin),52.5161,13.3989,69
Handelshochschule Berlin,52.521,13.4029,59
Neues Lusthaus Berlin,52.52,13.4,57
Oberschlesische Kokswerke und Chemische Fabriken,52.5392,13.3672,49
Handwerkervereinshaus,52.5256,13.4011,44
Spectaris,52.5151,13.397,41
Forschungs- und Dokumentationszentrum Chile-Lateinamerika,52.4925,13.3882,28
August Bebel Institut,52.5437,13.363,26
Haus des Deutschen Verkehrsbunds,52.5061,13.4203,23
Individual Network Berlin,52.5344,13.3586,20
Bauhaus-Archiv,52.5061,13.3542,0

