page_title,latitude,longitude,hitcount
Neues Palais,52.4012,13.0158,1161
Universität Potsdam,52.4011,13.0119,1004
Militärgeschichtliches Forschungsamt,52.3864,13.0257,504
Fachhochschule Potsdam,52.4126,13.0509,307
Zentrum für Militärgeschichte und Sozialwissenschaften der Bundeswehr,52.3864,13.0257,307
Potsdam-Institut für Klimafolgenforschung,52.3806,13.0643,291
Hasso-Plattner-Institut,52.393959,13.13349,197
Deutsches GeoForschungsZentrum,52.3826,13.0644,196
Abraham-Geiger-Kolleg,52.4011,13.0119,150
Helmholtz-Gymnasium Potsdam,52.4039,13.0593,144
Hochschule für Film und Fernsehen „Konrad Wolf“,52.38853,13.11791,143
Zentrum für Zeithistorische Forschung,52.396,13.0581,136
Moses Mendelssohn Zentrum für europäisch-jüdische Studien,52.3966,13.0573,130
Institute for Advanced Sustainability Studies,52.4061,13.0734,122
MSB Medical School Berlin,52.407,13.0541,116
Sportschule Potsdam „Friedrich Ludwig Jahn“,52.3819,13.0206,113
Evangelisches Gymnasium Hermannswerder,52.382,13.0322,92
Universitätsbibliothek Potsdam,52.4085,12.973,92
Helmertturm,52.3601,13.0653,85
Potsdam Centrum für Politik und Management,52.4011,13.0119,55
Montessori-Oberschule Potsdam,52.3889,13.0133,54
Fachschule für Foto- und Medientechnik,52.4072,13.0518,36
Bibliothek der Fachhochschule Potsdam,52.4143,13.0467,16
Königliche Ingenieurakademie (Potsdam),52.3958,13.0579,14
