page_title,latitude,longitude,hitcount
Hochschule Magdeburg-Stendal,52.1415,11.677,302
Domgymnasium Magdeburg,52.1224,11.6324,93
Kunstgewerbe- und Handwerkerschule Magdeburg,52.1324,11.6299,93
Max-Planck-Institut für Dynamik komplexer technischer Systeme,52.1384,11.6528,64
Musikschule Magdeburg „Konservatorium Georg Philipp Telemann“,52.1369,11.6385,50
Universitätsbibliothek Magdeburg,52.1388,11.6472,47
Werner-von-Siemens-Gymnasium (Magdeburg),52.1494,11.654,46
Museum für Naturkunde Magdeburg,52.1256,11.6295,44
Hegel-Gymnasium Magdeburg,52.1175,11.6297,35
Norbertusgymnasium,52.1582,11.6446,20
