page_title,latitude,longitude,hitcount
Zoologischer Garten Magdeburg,52.1681,11.6411,259
Magdeburger Dom,52.1247,11.6345,150
Koordinierungsstelle für Kulturgutverluste,52.1323,11.6606,137
Stadttheater Magdeburg,52.1292,11.6302,136
Aerosol-Arena,52.16,11.6706,129
Magdeburger Zwickmühle,52.1284,11.6323,95
Erlebnisbad Nautica,52.1343,11.6646,76
Hirschsäule,52.1312,11.6395,65
Magdeburger Weihnachtsmarkt,52.1316,11.6389,58
Schlachthof Magdeburg,52.1223,11.6124,56
Luisendenkmal (Magdeburg),52.1399,11.6357,50
Viktoriatheater (Magdeburg),52.1318,11.6529,47
Kunst im öffentlichen Raum in Magdeburg,52.1281,11.6329,42
Skulpturenpark Magdeburg,52.1266,11.6371,38
Vertschaupet II,52.1275,11.6347,21
Inborn Power,52.1272,11.6353,14
