page_title,longitude,latitude,hitcount
Junkers Flugzeug- und Motorenwerke,51.8322,12.2028,1617
Anhaltisches Theater,51.8367,12.2364,329
Technikmuseum Hugo Junkers,51.8364,12.2089,245
Dessauer Zuckerraffinerie,51.8242,12.2319,120
Anhaltisches Theater,51.836667,12.236389,119
Dessau-Wörlitzer Gartenreich,51.863611,12.281389,100
Tierpark Dessau,51.849035,12.238255,90
Palais Branconi,51.8379,12.246,71
Tierpark Dessau,51.849,12.2383,71
Anhaltische Landesbücherei,51.8355,12.2472,69
Kurt-Weill-Zentrum,51.843,12.2217,64
Puppentheater Dessau,51.8333,12.2432,32

