page_title,latitude,longitude,hitcount
Landschaftspark Althaldensleben-Hundisburg,52.2579,11.408,116
Stendaler Turm,52.29302,11.41209,115
Jüdischer Friedhof Haldensleben,52.301056,11.417769,114
Wasserturm auf dem Trendelberg,52.302522,11.415267,113
Rolli-Bad,52.2804,11.396,112
Haldensleber Roland,52.291,11.41222,111
Breiter Stein (Haldensleben),52.291105,11.412397,110
Kühnesches Haus,52.290623,11.410541,109
Ziegelei Hundisburg,52.251842,11.39029,108
Haldensleber Roland,52.291,11.4122,64
Museum Haldensleben,52.2894,11.4111,49
Ziegelei Hundisburg,52.2518,11.3903,44

