page_title,latitude,longitude,hitcount
Hochschule für Künste Bremen,53.0981,8.7675,574
Universum Bremen,53.1067,8.845,494
OHB,53.1003,8.85694,401
Übersee-Museum,53.0833,8.81056,193
Hermann-Böse-Gymnasium,53.0833,8.81861,169
Staats- und Universitätsbibliothek Bremen,53.1087,8.85361,144
Hochschule für Öffentliche Verwaltung Bremen,53.0844,8.79609,122
Focke-Windkanal,53.0806,8.816,103
Institut für niederdeutsche Sprache,53.0726,8.81023,100
Marum (Universität Bremen),53.1104,8.85103,81
Max-Planck-Institut für marine Mikrobiologie,53.1103,8.8475,79
Leibniz-Zentrum für Marine Tropenökologie,53.1078,8.84597,73
MeVis Medical Solutions,53.1041,8.85995,71
Landesinstitut für Schule (Bremen),53.093,8.81688,63
Bremer Institut für Kanada- und Québec-Studien,53.1086,8.85162,58
Hochschule für internationale Wirtschaft und Logistik,53.1031,8.85946,58
Gerhard-Marcks-Haus,53.0727,8.81462,57
Leibniz-Institut für Präventionsforschung und Epidemiologie,53.1002,8.85839,50
Erwachsenenschule Bremen,53.0849,8.7958,43
Olbers-Gesellschaft,53.0697,8.80778,32
Studentenwerk Bremen,53.1086,8.85162,32
Remberti-Schule,53.0783,8.81913,26

