page_title,latitude,longitude,hitcount
Allwetterzoo Münster,51.9464,7.59167,581
Fürstbischöfliches Schloss Münster,51.9637,7.61306,523
Kunstmuseum Pablo Picasso Münster,51.9602,7.62635,281
Theater Münster,51.9647,7.62889,265
Destille (Münster),51.9656,7.61917,186
Kiepenkerl (Münster),51.9641,7.62621,152
Wolfgang Borchert Theater,51.9515,7.63833,147
Münsterländer Parklandschaft,51.9865,7.58176,123
Haus der Niederlande,51.9631,7.62986,97
Westfälischer Kunstverein,51.9619,7.625,91
Theater im Pumpenhaus,51.9732,7.63604,85
Hot Jazz Club,51.9519,7.64361,72
Paul Wulf,51.9603,7.6339,71
Bibelmuseum Münster,51.9612,7.62344,59
LWL-Medienzentrum für Westfalen,51.9632,7.63535,54
Lettisches Gymnasium Münster,51.9909,7.61569,50
Square Depression,51.9665,7.59933,41
Freie Gartenakademie,51.9775,7.62722,37
Schwarze Witwe (Archiv),51.9571,7.63311,35
Raum-Zeit-Plastik,51.9647,7.62883,28
Filmwerkstatt Münster,51.9732,7.63615,21
Knecht mit Pferd und Magd mit Stier,51.9555,7.62642,20
Kunsthalle Münster,51.9519,7.64417,14
