page_title,latitude,longitude,hitcount
Westfälische Wilhelms-Universität,51.963611,7.613056,500
Fachhochschule Münster,51.961,7.60809,479
LWL-Museum für Naturkunde,51.9494,7.59111,224
Institut der Feuerwehr Nordrhein-Westfalen,51.9553,7.65972,160
Philosophisch-Theologische Hochschule Münster,51.9601,7.64778,124
Universitäts- und Landesbibliothek Münster,51.9628,7.62083,121
Gymnasium Paulinum Münster,51.96,7.61722,119
Haus der Niederlande,51.9631,7.62986,97
Collegium Borromaeum Münster,51.9612,7.62511,92
Diözesanbibliothek Münster,51.9647,7.62208,87
Stadtbücherei Münster,51.9631,7.63056,87
Max-Planck-Institut für molekulare Biomedizin,51.9681,7.59111,86
Pädagogische Hochschule Westfalen-Lippe,51.9504,7.60769,74
European Research Center for Information Systems,51.9759,7.60181,70
Friedensschule Münster,51.9372,7.59361,70
Geologisch-Paläontologisches Museum Münster,51.9615,7.62314,66
Adolph-Kolping-Berufskolleg,51.9672,7.6313,64
CeNTech,51.9692,7.59278,64
Pascal-Gymnasium Münster,51.9629,7.62869,61
Bibelmuseum Münster,51.9612,7.62344,59
