page_title,longitude,latitude,hitcount
H-Bahn,51.4933,7.40699,660
Dortmunder Actien-Brauerei,51.53,7.4675,589
ThyssenKrupp Uhde,51.5021,7.48364,451
DASA – Arbeitswelt Ausstellung,51.4984,7.42045,429
Thier-Galerie,51.514,7.4589,355
Dortmunder Stadtwerke,51.5056,7.48578,293
Rothe Erde (ThyssenKrupp),51.5088,7.44007,229
Bank für Kirche und Diakonie,51.5165,7.47263,203
Hoeschpark,51.5278,7.49083,160
Hoesch-Museum,51.5297,7.48306,133
"Union, AG für Bergbau, Eisen- und Stahl-Industrie",51.514,7.43291,133
HSP Hoesch Spundwand und Profil,51.5143,7.43759,110
Jaeger Ausbau,51.5076,7.3954,94
Handwerkskammer Dortmund,51.5158,7.46733,87
Heinrich August Schulte,51.5148,7.46444,43
Westfälisches Wirtschaftsarchiv,51.5032,7.48056,38
Haltepunkt Dortmund-Hoesch,51.537,7.48088,26
