page_title,latitude,longitude,hitcount
König-Pilsener-Arena,51.4901,6.87207,1342
Sea Life Centre,52.52,13.4039,577
Modellbahnwelt Oberhausen,51.4935,6.88263,415
St.-Antony-Hütte,51.518889,6.871944,400
Metronom Theater,51.4912,6.88557,303
Theater Oberhausen,51.4761,6.8606,185
Turbinenhalle Oberhausen,51.483641,6.866949,170
Bert-Brecht-Haus (Oberhausen),51.4706,6.85257,122
Schloss Oberhausen,51.492144,6.860333,100
Gasometer Oberhausen,51.494167,6.87,99
Modellbahnwelt Oberhausen,51.493512,6.882634,98
Luise-Albertz-Halle,51.472728,6.859256,97
Druckluft (Kulturzentrum),51.4727,6.84654,90
Luise-Albertz-Halle,51.4727,6.85926,74
Skulpturenpark Quadrat Bottrop,51.5303,6.91748,21
Altmarkt (Oberhausen),51.466761,6.849548,20

