filters	page_title	page_id	page_namespace
"Geotags (50.7096,7.11341)
Page Hits (count: 5909)"	Haribo	27229	0
"Geotags (50.7093,7.12744)
Page Hits (count: 2983)"	Postbank	75651	0
"Geotags (50.7149,7.1242)
Page Hits (count: 2177)"	Bundesnetzagentur	79482	0
"Geotags (50.7194,7.11929)
Page Hits (count: 1478)"	Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung	29007	0
"Geotags (50.7225,7.11664)
Page Hits (count: 1282)"	Bundeskartellamt	141056	0
"Geotags (50.7022,7.13484)
Page Hits (count: 1259)"	Friedrich-Ebert-Stiftung	179939	0
"Geotags (50.7195,7.12426)
Page Hits (count: 1070)"	Bundeshaus (Bonn)	1369442	0
"Geotags (50.7434,7.10407)
Page Hits (count: 540)"	Phoenix Reisen	6367746	0
"Geotags (50.7194,7.12417)
Page Hits (count: 404)"	World Conference Center Bonn	596525	0
"Geotags (50.7301,7.10936)
Page Hits (count: 301)"	Institut zur Zukunft der Arbeit	980555	0
"Geotags (50.716,7.126)
Page Hits (count: 153)"	Katholische Nachrichten-Agentur	116440	0
"Geotags (50.7207,7.11272)
Page Hits (count: 133)"	Hochschule der Sparkassen-Finanzgruppe	2778398	0
"Geotags (50.7094,7.11328)
Page Hits (count: 124)"	Haribo-Center	629801	0
"Geotags (50.7039,7.15111)
Page Hits (count: 96)"	High-Tech Gründerfonds	1764943	0
"Geotags (50.7021,7.13483)
Page Hits (count: 87)"	Bibliothek der Friedrich-Ebert-Stiftung Bonn	1355136	0
"Geotags (50.7133,7.12998)
Page Hits (count: 83)"	Action Press (Holding)	1154397	0
"Geotags (50.7025,7.1348)
Page Hits (count: 75)"	Archiv der sozialen Demokratie	262127	0
"Geotags (50.7093,7.12744)
Page Hits (count: 42)"	PB Factoring	6571516	0
"Geotags (50.7357,7.09396)
Page Hits (count: 26)"	Rheinisches Malermuseum	4461600	0
