page_title,latitude,longitude,hitcount
Porta Nigra,49.759681,6.644019,400
Trierer Dom,49.756111,6.643056,365
Karl-Marx-Haus,49.7539,6.63556,361
Theater Trier,49.7522,6.63472,176
St. Paulin,49.762222,6.652222,175
Stadtmuseum Simeonstift Trier,49.7597,6.64333,106
Exzellenzhaus,49.7697,6.64722,80
Amphitheater (Trier),49.748056,6.648889,80
Tuchfabrik (Kulturzentrum),49.7512,6.63996,80
Liebfrauenkirche (Trier),49.755833,6.643056,78
Dreikönigenhaus (Trier),49.758056,6.642778,77
Museum am Dom Trier,49.7566,6.64491,67
Kunstverein Trier Junge Kunst,49.7519,6.62881,60
Eisenbahnbrücke Trier-Pfalzel,49.7775,6.683778,59
Villa Weißhaus,49.7687,6.633807,58
