page_title,latitude,longitude,hitcount
Schloss Saarbrücken,49.230139,6.9925,500
Saarländisches Staatstheater,49.2308,6.99597,463
Saarlandmuseum,49.2308,6.99992,295
Kommende St. Elisabeth,49.231111,6.971944,150
Saarbrücker Zoo,49.230761,7.039581,120
Schlosskirche (Saarbrücken),49.231,6.99162,96
Historisches Museum Saar,49.23,6.99156,93
Museum für Vor- und Frühgeschichte (Saarbrücken),49.2308,6.9914,82
Stadtgalerie Saarbrücken,49.2328,6.99704,60
Saarländisches Künstlerhaus,49.2307,6.99958,58
Theaterschiff Maria-Helena,49.2322,6.99333,45
Achteinhalb (Kino),49.2357,7.00105,40
Stadtbibliothek Saarbrücken,49.2343,6.99583,35
