page_title,latitude,longitude,hitcount
Deutsches Eck,50.3642,7.60564,2353
Festung Ehrenbreitstein,50.365,7.61528,2125
Bundesarchiv (Deutschland),50.3425,7.5725,1229
Seilbahn Koblenz,50.3672,7.61514,963
Koblenz Hauptbahnhof,50.3506,7.58917,773
Kurfürstliches Schloss (Koblenz),50.3556,7.60222,725
St. Kastor (Koblenz),50.3617,7.60397,538
Rheinanlagen (Koblenz),50.3619,7.605,472
Ehrenmal des Deutschen Heeres,50.3652,7.61608,375
Schängel,50.3603,7.59813,346
Schloss Philippsburg (Koblenz),50.3644,7.61139,323
Koblenz-Ehrenbreitstein,50.3603,7.615,318
Alte Burg (Koblenz),50.3624,7.59403,304
Balduinbrücke,50.3639,7.59306,293
Herz-Jesu-Kirche (Koblenz),50.3568,7.591,288
Hauptfriedhof Koblenz,50.3514,7.57611,269
Liebfrauenkirche (Koblenz),50.3608,7.59599,259
Florinskirche (Koblenz),50.3619,7.59722,256
Fort Asterstein,50.3549,7.61539,248
Südbrücke (Koblenz),50.3326,7.59397,243
Koblenz-Arenberg,50.3675,7.65167,228
Theater Koblenz,50.3582,7.59944,216
Pfaffendorfer Brücke,50.3531,7.60461,215
Koblenz-Altstadt,50.3606,7.59667,206
Feste Kaiser Franz,50.3706,7.59167,197
Katholisches Klinikum Koblenz-Montabaur,50.3594,7.57186,197
Deutschordenskommende Koblenz,50.3628,7.605,181
Preußisches Regierungsgebäude (Koblenz),50.3582,7.60378,175
Kaiserin-Augusta-Denkmal (Koblenz),50.3462,7.59583,165
Haus Metternich (Koblenz),50.3616,7.59367,161


