filters	page_title	page_id	page_namespace
"Geotags (50.3642,7.60564)
Page Hits (count: 2353)"	Deutsches Eck	57573	0
"Geotags (54.3175,9.635)
Page Hits (count: 2108)"	Liste ehemaliger Bundeswehr-Liegenschaften	3083347	0
"Geotags (49.35,8.15)
Page Hits (count: 612)"	Liste der kreisfreien Städte in Deutschland	30223	0
"Geotags (50.3911,7.57972)
Page Hits (count: 559)"	Rhein-Zeitung	364969	0
"Geotags (50.3706,7.59167)
Page Hits (count: 197)"	Feste Kaiser Franz	314259	0
"Geotags (50.3462,7.59583)
Page Hits (count: 165)"	Kaiserin-Augusta-Denkmal (Koblenz)	6297708	0
"Geotags (50.3506,7.58611)
Page Hits (count: 157)"	Fort Großfürst Konstantin	405500	0
"Geotags (50.3478,7.58)
Page Hits (count: 154)"	Feste Kaiser Alexander	636300	0
"Geotags (50.3592,7.56309)
Page Hits (count: 80)"	Kurt-Schumacher-Brücke (Koblenz)	1369552	0
"Geotags (50.363,7.60156)
Page Hits (count: 74)"	Peter-Altmeier-Denkmal (Koblenz)	6299774	0
"Geotags (50.3933,7.62233)
Page Hits (count: 48)"	Kaiser-Friedrich-Turm (Vallendar)	2770919	0
"Geotags (50.3497,7.58417)
Page Hits (count: 46)"	Erbgroßherzog-Friedrich-Kaserne (Koblenz)	3550442	0
"Geotags (50.3571,7.61234)
Page Hits (count: 29)"	Luisenturm (Koblenz)	6741034	0
"Geotags (50.3525,7.57722)
Page Hits (count: 27)"	Napoleonstein (Koblenz)	8033816	0
"Geotags (50.344,7.59603)
Page Hits (count: 18)"	Denkmal für Kaiser Wilhelm I. und Kaiserin Augusta	7832414	0
