page_title,latitude,longitude,hitcount
Hochschule Koblenz,50.336,7.56957,576
Zentrum Innere Führung,50.3381,7.61903,240
Görres-Gymnasium (Koblenz),50.3595,7.5993,144
Max-von-Laue-Gymnasium,50.354,7.59599,132
Eichendorff-Gymnasium (Koblenz),50.355,7.59568,127
Stadtbibliothek Koblenz,50.3588,7.59622,104
Feuerwehr- und Katastrophenschutzschule Rheinland-Pfalz,50.3525,7.61472,79
Rheinische Landesbibliothek Koblenz,50.3492,7.58889,72
Landesuntersuchungsamt Rheinland-Pfalz,50.3435,7.58986,71
Dr. Zimmermannsche Wirtschaftsschule,50.3491,7.5961,63
