page_title,latitude,longitude,hitcount
Rheinsteig,50.7356,7.10222,708
Wiesbaden-Schierstein,50.0475,8.1947,452
Kulturzentrum Schlachthof (Wiesbaden),50.0667,8.24722,334
Römisch-Germanisches Zentralmuseum,50.0061,8.26972,249
Gutenberg-Marathon,50.0009,8.27596,172
Phönix-Halle,50.0167,8.23417,157
Hessisches Hauptstaatsarchiv,50.0633,8.23944,124
Froschturm,50.0213,8.24831,99
Deutsches Kabarettarchiv,49.9993,8.26511,88
Schoppenstecher-Standbild,49.9993,8.26592,72
Deutsches Filmarchiv,50.0556,8.28944,60
Trajekt Mainz–Kastel,50.0067,8.27694,43
CRB Haus Burgund,50.0039,8.26949,37
Förderverein für ein Museum für Deutsche Fernsehgeschichte,50.03,8.26472,16
