filters	page_title	page_id	page_namespace
"Geotags (50.0472,8.22778)
Page Hits (count: 2546)"	Bundeskriminalamt (Deutschland)	28981	0
"Geotags (54.3175,9.635)
Page Hits (count: 2108)"	Liste ehemaliger Bundeswehr-Liegenschaften	3083347	0
"Geotags (49.35,8.15)
Page Hits (count: 612)"	Liste der kreisfreien Städte in Deutschland	30223	0
"Geotags (50.0817,8.24111)
Page Hits (count: 296)"	Liste der Ortsbezirke in Wiesbaden	483038	0
"Geotags (50.0067,8.27694)
Page Hits (count: 293)"	Theodor-Heuss-Brücke (Mainz–Wiesbaden)	1265197	0
"Geotags (50.0375,8.23528)
Page Hits (count: 255)"	Deutsche Film- und Medienbewertung (FBW)	81500	0
"Geotags (50.0703,8.2495)
Page Hits (count: 226)"	Hessisches Ministerium für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz	2444787	0
"Geotags (50.0678,8.22667)
Page Hits (count: 139)"	Hessisches Ministerium für Soziales und Integration	728510	0
"Geotags (49.9991,8.27485)
Page Hits (count: 128)"	Nagelsäule (Mainz)	2745101	0
"Geotags (50.0047,8.26901)
Page Hits (count: 92)"	Ministerium für Umwelt, Landwirtschaft, Ernährung, Weinbau und Forsten RLP	6269196	0
