page_title,latitude,longitude,hitcount
Linde AG,50.065,8.27421,2806
SGL Carbon,50.0452,8.1928,1188
Schott AG,50.0141,8.24646,1075
Mainz Hauptbahnhof,50.0013,8.25865,581
Bioland,50.0027,8.2629,546
Henkell & Co. Sektkellerei,50.0536,8.24422,462
Dyckerhoff (Zementhersteller),50.0297,8.25417,323
Chemische Fabrik Kalle,50.0333,8.24583,243
Schott Solar,50.0141,8.24646,218
LRP Landesbank Rheinland-Pfalz,50.003,8.26867,182
SMS Mainz,50.0004,8.27873,178
Hessisches Ministerium für Soziales und Integration,50.0678,8.22667,139
Ländchesbahn,50.0775,8.24583,126
Pegel Mainz,50.0039,8.27539,113
"Ministerium für Wirtschaft, Klimaschutz, Energie und Landesplanung RLP",50.0058,8.26616,74
Nebeljungenstreich,50.0297,8.24417,62
Hessisches Immobilienmanagement,50.067,8.26848,50
Heinrich-Egli-Haus,50.004,8.25272,37
