page_title,longitude,latitude,hitcount
EBS Universität für Wirtschaft und Recht,50.0125,8.05,300
Römisch-Germanisches Zentralmuseum,50.0061,8.26972,249
Stadtbibliothek Mainz,50.0085,8.26938,132
Naturhistorisches Museum (Mainz),50.0033,8.27056,131
Otto-Schott-Gymnasium,50.0045,8.23078,82
Hessisches Landesamt für Umwelt und Geologie,50.0349,8.2429,76
Hessenkolleg Wiesbaden,50.0686,8.23861,64
Institut für Qualitätsentwicklung,50.0708,8.22658,61
Volkssternwarte Mainz,50.0038,8.27075,57
Heinrich-Egli-Haus,50.004,8.25272,37
