page_title,longitude,latitude,hitcount
Europäische Zentralbank,50.1094,8.67414,10517
Deutsche Bank,50.114,8.66934,7514
Deutsche Bundesbank,50.1339,8.65972,3150
Adlerwerke,50.101,8.641,1758
I.G.-Farben-Haus,50.125,8.6675,1613
Frankfurter Wertpapierbörse,50.1153,8.67778,1548
SEB AG,50.1167,8.68223,1114
Europaviertel (Frankfurt am Main),50.1094,8.65194,1081
Landesbank Hessen-Thüringen,50.1122,8.67194,1026
Deutsche-Bank-Hochhaus,50.1136,8.66806,933
Finanz Informatik,50.1151,8.63633,866
Deutsche Bank Privat- und Geschäftskunden,50.1152,8.64182,513
Tenovis,50.0972,8.62972,439
Europäische Aufsichtsbehörde für das Versicherungswesen und die betriebliche Altersversorgung,50.1018,8.66513,348
Fernmeldehochhaus,50.1154,8.68056,325
AEG-Hochhaus,50.0996,8.66778,320
Alliance Healthcare Deutschland,50.1185,8.63563,278



