page_title,longitude,latitude,hitcount
Johann Wolfgang Goethe-Universität Frankfurt am Main,50.1194,8.65139,3416
Frankfurt School of Finance & Management,50.1096,8.69741,888
Fachhochschule Frankfurt am Main,50.1303,8.69249,580
Institut für Sozialforschung,50.1184,8.65385,441
Staatliche Hochschule für Bildende Künste – Städelschule,50.1022,8.675,363
Dr. Hoch’s Konservatorium,50.1102,8.69986,324
Universitätsbibliothek Johann Christian Senckenberg,50.1204,8.65311,323
Philosophisch-Theologische Hochschule Sankt Georgen,50.0985,8.712,286
Deutsche Bibliothek,50.1311,8.68306,223
House of Finance,50.1269,8.665,215
Institut zur Erforschung der Judenfrage,50.1186,8.66139,186
Deutsches Institut für Internationale Pädagogische Forschung,50.1224,8.63848,171
Max-Planck-Institut für Hirnforschung,50.0935,8.65205,147
Institut für Stadtgeschichte,50.1092,8.67806,127
Experiminta,50.1154,8.6479,121
Philanthropin (Frankfurt am Main),50.1211,8.68722,116
Institut für sozial-ökologische Forschung,50.1156,8.64504,86
Zentrum für christliche Meditation und Spiritualität des Bistums Limburg,50.1269,8.71833,73
Wollheim-Memorial,50.125,8.665,70
Charles-Hallgarten-Schule,50.1328,8.72056,66
Studentenwerk Frankfurt am Main,50.1197,8.6518,35
