page_title,latitude,longitude,hitcount
Otto-Friedrich-Universität Bamberg,49.8939,10.8867,829
Staatsbibliothek Bamberg,49.8916,10.8821,184
Ottonianum (Bamberg),49.8875,10.9013,137
Naturkunde-Museum (Bamberg),49.8944,10.8883,92
E.T.A. Hoffmann-Gymnasium Bamberg,49.8863,10.8889,86
Aufseesianum (Bamberg),49.892,10.8784,77
Theresianum (Bamberg),49.8886,10.8803,74
Dientzenhofer-Gymnasium Bamberg,49.9083,10.9056,65
Dr.-Remeis-Sternwarte,49.8846,10.8881,48
Priesterseminar Bamberg,49.8872,10.9019,44
