page_title,longitude,latitude,hitcount
Universität Linz,48.3372,14.3178,473
Burschenschafterturm,48.3081,14.2456,163
Otto-Glöckel-Schule,48.287,14.2996,92
Khevenhüller Gymnasium Linz,48.3019,14.3014,91
Technisch-Naturwissenschaftliche Fakultät der JKU Linz,48.3378,14.3167,79
Linz Center of Mechatronics,48.3361,14.3226,74
Kollegium Aloisianum,48.2962,14.2684,71
Wissensturm,48.2911,14.2883,64
Akademisches Gymnasium (Linz),48.3022,14.2873,63
Europagymnasium Auhof,48.334,14.3204,51
Johannes-Kepler-Sternwarte Linz,48.2934,14.2683,48
Berufsschule Linz 1,48.3178,14.2909,47
Oberösterreichische Landesbibliothek,48.2973,14.291,47
Linz International School Auhof,48.334,14.3203,42
Linzer Technikum,48.3061,14.3114,40
Georg-von-Peuerbach-Gymnasium,48.3162,14.2892,37
Europaschule Linz,48.3092,14.2974,19
Universitätsbibliothek Linz,48.338,14.3212,17
