page_title,latitude,longitude,hitcount
Energie AG Oberösterreich,48.2933,14.2906,290
Linz AG,48.2807,14.3094,286
Eisenwerke Oberdonau,48.2783,14.3175,156
Allgemeines Krankenhaus der Stadt Linz,48.3039,14.3056,145
Oberösterreich Tourismus,48.3218,14.2919,98
Oberösterreichischer Verkehrsverbund,48.2969,14.2892,96
Power Tower (Linz),48.2933,14.2906,89
Linz Center of Mechatronics,48.3361,14.3226,74
Österreichische Schiffswerften AG,48.3189,14.3111,71
OÖ Landesholding,48.3039,14.2848,43
OÖ Verkehrsholding,48.2969,14.2892,29

