page_title,longitude,latitude,hitcount
Österreichische Nationalbibliothek,48.2061,16.3663,1609
Museum für angewandte Kunst (Wien),48.2075,16.3817,663
Bermudadreieck (Wien),48.2117,16.3753,484
Dorotheum,48.2061,16.3683,452
Wiener Porzellanmanufaktur,48.2247,16.3613,365
Porzellanmanufaktur Augarten,48.2237,16.3785,364
Bundesdenkmalamt,48.1817,16.3921,284
Lycée Français de Vienne,48.2208,16.3592,281
WUK (Kulturzentrum),48.2231,16.3511,278
Jüdisches Museum Wien,48.2072,16.369,269
Café Landtmann,48.2115,16.3614,239
Mozarthaus Vienna,48.2078,16.3753,239
Prunksaal der Österreichischen Nationalbibliothek,48.2062,16.3666,209
Rathausmann (Wien),48.2108,16.3581,208
Haus der Musik,48.2042,16.3733,204
Zacherlfabrik,48.244,16.3515,187
Architekturzentrum Wien,48.2042,16.3578,176
Metalab,48.2094,16.3562,152
Nestroyhof,48.2143,16.3849,150
Wiener Bürgertheater,48.2072,16.3833,144
Römermuseum Wien,48.2107,16.3721,137
Porgy & Bess (Jazzclub),48.2068,16.3767,136
Papyrussammlung und Papyrusmuseum Wien,48.2052,16.365,134
Österreichisches Filmmuseum,48.2047,16.3683,126
Liste der Wiener Gemeindebauten/Leopoldstadt,48.2254,16.3842,124
Hetztheater,48.2096,16.3873,122
Globenmuseum,48.2093,16.3653,119
Minopolis,48.2306,16.4144,111
Vienna’s English Theatre,48.2084,16.353,108
Liste der Wiener Gemeindebauten/Innere Stadt,48.2049,16.3731,102
Fälschermuseum Wien,48.2076,16.3933,101
Liste der Wiener Gemeindebauten/Landstraße,48.1989,16.3815,99
Strampfer-Theater,48.2103,16.3708,76
Jazzland,48.2121,16.3745,74
Liste der Wiener Gemeindebauten/Alsergrund,48.2292,16.3573,70
Pradler Ritterspiele,48.2081,16.3803,69
Esperantomuseum,48.2093,16.3653,67
Nussberg (Wien),48.265,16.3467,66
Liste der Wiener Gemeindebauten/Brigittenau,48.2339,16.3689,65
Archiv der Universität Wien,48.2094,16.3789,64
Kleines Theater in der Praterstraße,48.2164,16.3881,60
Hotel Graf Stadion,48.2099,16.3535,58
Birdland (Wien),48.2062,16.3832,56
Department für Gerichtliche Medizin Wien,48.2192,16.3528,56
Liste von Schaltanlagen im Höchstspannungsnetz in Österreich,48.2575,16.39,49
Liste der Wiener Gemeindebauten/Neubau,48.1991,16.3445,44
Palais Paar,48.2078,16.3778,41
Liste der Wiener Gemeindebauten/Josefstadt,48.2093,16.3407,38
Hungerberg (Wien),48.2514,16.3478,37
Liste der Gedenktafeln am Leopoldsberg,48.278,16.3458,37
Ensemble Theater Wien,48.2092,16.37,36
Burgstall (Wien),48.27,16.3554,15
