page_title,longitude,latitude,hitcount
Jugendmedienkommission,48.21,16.3631,2964
Vienna International Centre,48.2347,16.4169,1074
Internationale Atomenergie-Organisation,48.2347,16.4169,915
Oesterreichische Nationalbank,48.2161,16.3541,832
Bundesministerium für Landesverteidigung und Sport,48.2186,16.3686,467
"Bundesministerium für Verkehr, Innovation und Technologie",48.2107,16.3861,342
Bundesdenkmalamt,48.1817,16.3921,284
Palais Erzherzog Albrecht,48.2044,16.3678,257
Liste der Korps der Österreichisch-Ungarischen Armee,48.2139,16.3578,244
Österreichische Industrieholding,48.2333,16.3842,229
WienTourismus,48.2219,16.3761,221
Klosterstudie,48.2087,16.3774,220
Albert-Schultz-Eishalle,48.2458,16.4333,192
Franz-Joseph-Kaserne,48.2108,16.3833,180
Palais Erzherzog Wilhelm,48.2061,16.3789,138
Türkischer Tempel,48.2158,16.3839,124
Maria-Theresien-Schlössel (Wien Hofzeile),48.2425,16.3532,99
Erzherzog-Albrecht-Kaserne,48.2156,16.4139,63
Verband Österreichischer Zeitungen,48.2122,16.3694,54
Verband Österreichischer Privatsender,48.2058,16.3788,52
Österreichische Forschungsförderungsgesellschaft,48.2204,16.3538,49
Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien,48.2117,16.3577,41
Verband der Öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs,48.2093,16.3563,36
Augartenspitz,48.2201,16.3799,35
Heinrich-Jasomirgott-Brunnen,48.2126,16.3643,34
Palais Bartolotti-Partenfeld,48.2081,16.3697,34
Erzherzog-Wilhelm-Kaserne,48.2197,16.4083,32
Bibliothek von unten,48.2128,16.3682,31
Palais Albrecht,48.2086,16.3772,31
Österreichisches Institut für Raumplanung,48.2122,16.3756,23
Josef-Wiedermann-Hof,48.2386,16.3495,16
