filters	page_title	page_id	page_namespace
"Geotags (48.2141,16.4082)
Page Hits (count: 1122)"	Wirtschaftsuniversität Wien	182937	0
"Geotags (48.2069,16.3669)
Page Hits (count: 1116)"	Spanische Hofreitschule	304060	0
"Geotags (48.2052,16.3593)
Page Hits (count: 883)"	Naturhistorisches Museum Wien	261002	0
"Geotags (48.2161,16.3541)
Page Hits (count: 832)"	Oesterreichische Nationalbank	510571	0
"Geotags (48.23,16.3978)
Page Hits (count: 555)"	Pensionsversicherungsanstalt	1150220	0
"Geotags (48.2161,16.3956)
Page Hits (count: 550)"	Weltausstellung 1873	1331522	0
"Geotags (48.2051,16.3566)
Page Hits (count: 500)"	Volkstheater (Wien)	286844	0
"Geotags (48.215,16.3667)
Page Hits (count: 476)"	Wiener Börse	705497	0
"Geotags (48.2297,16.3654)
Page Hits (count: 456)"	Elektronische Gesundheitsakte (Österreich)	6582279	0
"Geotags (48.2217,16.3694)
Page Hits (count: 423)"	Mobilkom Austria	225030	0
"Geotags (48.2107,16.3861)
Page Hits (count: 342)"	Bundesministerium für Verkehr, Innovation und Technologie	417512	0
"Geotags (48.2111,16.3674)
Page Hits (count: 337)"	Liste der Wiener Märkte	2107605	0
"Geotags (48.2051,16.375)
Page Hits (count: 302)"	Ronacher	523692	0
"Geotags (47.791,13.0526)
Page Hits (count: 272)"	Zentralanstalt für Meteorologie und Geodynamik	2445895	0
"Geotags (48.2236,16.4239)
Page Hits (count: 240)"	Webster University Vienna	1467982	0
"Geotags (48.2136,16.3767)
Page Hits (count: 230)"	Dianabad	1896287	0
"Geotags (48.2333,16.3842)
Page Hits (count: 229)"	Österreichische Industrieholding	320323	0
"Geotags (48.2087,16.3774)
Page Hits (count: 225)"	Universitätssternwarte Wien	860636	0
"Geotags (48.2231,16.3511)
Page Hits (count: 221)"	Technologisches Gewerbemuseum	362095	0
"Geotags (48.2219,16.3761)
Page Hits (count: 221)"	WienTourismus	4225226	0
"Geotags (48.2672,16.3983)
Page Hits (count: 220)"	Lokomotivfabrik Floridsdorf	1365023	0
"Geotags (48.2364,16.4136)
Page Hits (count: 172)"	Waagner-Biro	1432233	0
"Geotags (48.2145,16.3762)
Page Hits (count: 94)"	Österreichischer Raiffeisenverband	1024879	0
"Geotags (48.2221,16.3506)
Page Hits (count: 90)"	HLMW9 Michelbeuern	5037946	0
"Geotags (48.2044,16.3771)
Page Hits (count: 89)"	Palais Henckel von Donnersmarck	3837288	0
"Geotags (48.2141,16.3802)
Page Hits (count: 86)"	Börse für landwirtschaftliche Produkte	3756253	0
"Geotags (48.2144,16.41)
Page Hits (count: 54)"	Mannesmannturm Wien	634783	0
"Geotags (48.2122,16.3694)
Page Hits (count: 54)"	Verband Österreichischer Zeitungen	4345913	0
"Geotags (48.2058,16.3788)
Page Hits (count: 52)"	Verband Österreichischer Privatsender	4371992	0
"Geotags (48.2575,16.39)
Page Hits (count: 49)"	Liste von Schaltanlagen im Höchstspannungsnetz in Österreich	5167046	0
"Geotags (48.2204,16.3538)
Page Hits (count: 49)"	Österreichische Forschungsförderungsgesellschaft	895167	0
"Geotags (48.2142,16.3454)
Page Hits (count: 48)"	Realgymnasium und Wirtschaftskundliches Realgymnasium Feldgasse	1229864	0
"Geotags (48.2078,16.3669)
Page Hits (count: 45)"	C. Bühlmayer	4609810	0
"Geotags (48.2164,16.3881)
Page Hits (count: 42)"	Schienen-Control	3527841	0
"Geotags (48.2117,16.3577)
Page Hits (count: 41)"	Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien	3691143	0
"Geotags (48.2042,16.3759)
Page Hits (count: 41)"	Zürcher Kantonalbank Österreich	4838219	0
"Geotags (48.2093,16.3563)
Page Hits (count: 36)"	Verband der Öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs	2200247	0
"Geotags (48.2574,16.3619)
Page Hits (count: 21)"	Rosa Schaffer	4627162	0
