filters	page_title	page_id	page_namespace
"Geotags (48.2131,16.3597)
Page Hits (count: 1997)"	Universität Wien	105078	0
"Geotags (48.2141,16.4082)
Page Hits (count: 1122)"	Wirtschaftsuniversität Wien	182937	0
"Geotags (48.2075,16.3817)
Page Hits (count: 581)"	Universität für angewandte Kunst Wien	1114606	0
"Geotags (48.2082,16.3738)
Page Hits (count: 566)"	Café Rosa	7518034	0
"Geotags (48.2186,16.3686)
Page Hits (count: 467)"	Bundesministerium für Landesverteidigung und Sport	267338	0
"Geotags (48.2367,16.3372)
Page Hits (count: 463)"	Universität für Bodenkultur Wien	93299	0
"Geotags (48.22,16.3514)
Page Hits (count: 442)"	Medizinische Universität Wien	285992	0
"Geotags (48.2125,16.365)
Page Hits (count: 316)"	Schottenstift	44876	0
"Geotags (48.2089,16.3777)
Page Hits (count: 307)"	Jesuitenkirche (Wien)	1823955	0
"Geotags (48.2141,16.4082)
Page Hits (count: 269)"	Campus WU	7919561	0
"Geotags (48.2236,16.4239)
Page Hits (count: 240)"	Webster University Vienna	1467982	0
"Geotags (48.2139,16.3651)
Page Hits (count: 219)"	Rechtswissenschaftliche Fakultät der Universität Wien	3242801	0
"Geotags (48.2553,16.4314)
Page Hits (count: 210)"	Veterinärmedizinische Universität Wien	671163	0
"Geotags (48.2144,16.3931)
Page Hits (count: 191)"	Vivarium (Prater)	1232604	0
"Geotags (48.2131,16.3597)
Page Hits (count: 179)"	Universitätsbibliothek der Universität Wien	1866051	0
"Geotags (48.2312,16.3591)
Page Hits (count: 166)"	Universitätszentrum Althanstraße	6858074	0
"Geotags (48.2192,16.3561)
Page Hits (count: 161)"	Josephinum (Wien)	1156459	0
"Geotags (48.2046,16.3716)
Page Hits (count: 113)"	St. Annahof (Wien)	5345493	0
"Geotags (48.2221,16.3506)
Page Hits (count: 90)"	HLMW9 Michelbeuern	5037946	0
"Geotags (48.2225,16.3561)
Page Hits (count: 80)"	Wiener Priesterseminar	538955	0
"Geotags (48.2131,16.35)
Page Hits (count: 79)"	Palais Schönborn (Laudongasse)	1122120	0
"Geotags (48.2296,16.3748)
Page Hits (count: 70)"	Brigittenauer Gymnasium	5219046	0
"Geotags (48.2075,16.3735)
Page Hits (count: 67)"	Kirchliche Pädagogische Hochschule Wien/Krems	6254015	0
"Geotags (48.2094,16.3789)
Page Hits (count: 64)"	Archiv der Universität Wien	1866063	0
"Geotags (48.2447,16.3697)
Page Hits (count: 61)"	Campus Brigittenau	2633249	0
"Geotags (48.2424,16.3553)
Page Hits (count: 58)"	Kloster der Schwestern vom armen Kinde Jesu (Wien)	892525	0
"Geotags (48.2079,16.3683)
Page Hits (count: 57)"	Burgenländisches Priesterseminar	3956198	0
"Geotags (48.2192,16.3528)
Page Hits (count: 56)"	Department für Gerichtliche Medizin Wien	4508771	0
"Geotags (48.2085,16.3784)
Page Hits (count: 47)"	Herzogskolleg	7738668	0
"Geotags (48.2168,16.3601)
Page Hits (count: 45)"	Afro-Asiatisches Institut	2868250	0
"Geotags (48.213,16.3608)
Page Hits (count: 45)"	Fakultäts-Ehrentafeln der Universität Wien	5622170	0
"Geotags (48.2054,16.3673)
Page Hits (count: 42)"	Frintaneum	819754	0
"Geotags (48.216,16.3514)
Page Hits (count: 39)"	Institut für Zeitgeschichte der Universität Wien	5648209	0
"Geotags (48.2308,16.3581)
Page Hits (count: 33)"	Universitätsbibliothek der Wirtschaftsuniversität Wien	2383249	0
"Geotags (48.2476,16.356)
Page Hits (count: 31)"	Israelitisches Blindeninstitut	8023339	0
"Geotags (48.2093,16.348)
Page Hits (count: 29)"	K.k. Civil-Mädchen-Pensionat Wien	1459414	0
"Geotags (48.2081,16.3726)
Page Hits (count: 27)"	Bürgerschule zu St. Stephan	6456385	0
