page_title,latitude,longitude,hitcount
Hofburg,48.206389,16.366111,700
Stephansdom (Wien),48.208333,16.372778,690
Ruprechtskirche (Wien),48.212083,16.374306,685
Hundertwasserhaus (Wien),48.207449,16.393868,683
MuseumsQuartier,48.203333,16.358889,680
Wiener Staatsoper,48.203,16.3691,670
Museum für angewandte Kunst (Wien),48.2075,16.3817,663
Café Rosa,48.2082,16.3738,566
Volkstheater (Wien),48.2051,16.3566,500
Bermudadreieck (Wien),48.2117,16.3753,484
Dorotheum,48.2061,16.3683,452
Wiener Porzellanmanufaktur,48.2247,16.3613,365
Porzellanmanufaktur Augarten,48.2237,16.3785,364
Lycée Français de Vienne,48.2208,16.3592,281
WUK (Kulturzentrum),48.2231,16.3511,278
Jüdisches Museum Wien,48.2072,16.369,269
Palais Erzherzog Albrecht,48.2044,16.3678,257
Café Landtmann,48.2115,16.3614,239
Mozarthaus Vienna,48.2078,16.3753,239
Prunksaal der Österreichischen Nationalbibliothek,48.2062,16.3666,209
Rathausmann (Wien),48.2108,16.3581,208




