page_title,latitude,longitude,hitcount
Spanische Hofreitschule,48.2069,16.3669,1116
Oesterreichische Nationalbank,48.2161,16.3541,832
Pensionsversicherungsanstalt,48.23,16.3978,555
Wiener Börse,48.215,16.3667,476
Mobilkom Austria,48.2217,16.3694,423
Ronacher,48.2051,16.375,302
Dianabad,48.2136,16.3767,230
Österreichische Industrieholding,48.2333,16.3842,229
WienTourismus,48.2219,16.3761,221
Lokomotivfabrik Floridsdorf,48.2672,16.3983,220
Waagner-Biro,48.2364,16.4136,172
Österreichischer Raiffeisenverband,48.2145,16.3762,94
HLMW9 Michelbeuern,48.2221,16.3506,90
Börse für landwirtschaftliche Produkte,48.2141,16.3802,86
Mannesmannturm Wien,48.2144,16.41,54
Verband Österreichischer Zeitungen,48.2122,16.3694,54
Verband Österreichischer Privatsender,48.2058,16.3788,52



