page_title,latitude,longitude,hitcount
Universität Wien,48.2131,16.3597,1997
Österreichische Nationalbibliothek,48.2061,16.3663,1609
Wirtschaftsuniversität Wien,48.2141,16.4082,1122
Naturhistorisches Museum Wien,48.2052,16.3593,883
Narrenturm,48.2186,16.3533,724
Österreichische Akademie der Wissenschaften,48.2087,16.3774,646
Universität für angewandte Kunst Wien,48.2075,16.3817,581
Universität für Bodenkultur Wien,48.2367,16.3372,463
Medizinische Universität Wien,48.22,16.3514,442
Urania (Wien),48.2117,16.3836,433
Schottenstift,48.2125,16.365,316
Jesuitenkirche (Wien),48.2089,16.3777,307
Bundesdenkmalamt,48.1817,16.3921,284
Hohe Warte (Wien),48.2494,16.3578,280
Zentralanstalt für Meteorologie und Geodynamik,47.791,13.0526,272
Campus WU,48.2141,16.4082,269
Webster University Vienna,48.2236,16.4239,240
Rechtswissenschaftliche Fakultät der Universität Wien,48.2139,16.3651,219
Veterinärmedizinische Universität Wien,48.2553,16.4314,210
Universitätsbibliothek der Universität Wien,48.2131,16.3597,179
Universitätszentrum Althanstraße,48.2312,16.3591,166
Österreichisches Archäologisches Institut,48.2334,16.3489,119

