page_title,longitude,latitude,hitcount
Reichstagsgebäude,52.5186,13.3761,7319
Europa-Union Deutschland,52.5265,13.3997,3237
Zoologischer Garten Berlin,52.5083,13.3375,2932
Königliche Porzellan-Manufaktur Berlin,52.515,13.3333,1634
Jakob Maria Mierscheid,52.5206,13.3765,1418
Boulevard der Stars,52.5093,13.3743,1373
Deutsches Technikmuseum Berlin,52.4986,13.3775,1129
Kunsthaus Tacheles,52.5258,13.3888,1068
Aquarium Berlin,52.5058,13.3406,1028
Staatsbibliothek zu Berlin,52.5064,13.3703,877
Akademie der Künste (Berlin),52.515,13.3794,685
Französischer Dom,52.5144,13.3922,607
AEG-Turbinenfabrik,52.5282,13.3245,498
SO36,52.5003,13.4222,489
Kulturbrauerei,52.5389,13.4136,478
Die Stachelschweine,52.5047,13.3369,477
Re:publica,52.5001,13.3755,435
Bethanien (Berlin),52.5039,13.4244,430
Nollendorfplatz,52.4992,13.3539,426
Köpi,52.5078,13.4261,422
Reichsnährstand,52.504,13.3783,390
Alte Bibliothek (Berlin),52.5164,13.3933,351
Eisfabrik (Berlin-Mitte),52.5096,13.4261,346
Luftbrückendenkmal,52.4842,13.3875,317
Wintergarten (Varieté),52.5022,13.3644,316
C-base,52.5131,13.4197,305
Museum für Fotografie (Berlin),52.5077,13.3318,303
Denkmal für die im Nationalsozialismus verfolgten Homosexuellen,52.5133,13.3763,295
Motzstraße,52.4962,13.3432,274
Gedenkstätte Berliner Mauer,52.535,13.3897,273
Fichtebunker,52.4903,13.4125,258
Kino Babylon,52.5258,13.4119,256
Museum für Islamische Kunst (Berlin),52.5208,13.3964,251
Tunnel 57,52.5363,13.3927,249
Gesellschaft zur Verfolgung von Urheberrechtsverletzungen,52.524,13.3281,226
Villa Grisebach,52.5016,13.3268,225
Zucker-Museum,52.5456,13.3453,220
Berliner Medizinhistorisches Museum,52.5236,13.3789,218
Stadion am Gesundbrunnen,52.55,13.3933,208
Elefantentor (Zoologischer Garten Berlin),52.5057,13.3398,206
Deutsches Currywurst Museum Berlin,52.5088,13.3912,191
Brecht-Haus (Berlin),52.5289,13.3847,190
Mschatta-Fassade,52.5208,13.3964,190
Ibero-Amerikanisches Institut,52.5067,13.3697,186
Passionskirche (Berlin),52.4894,13.3973,179
Pfefferberg (Berlin),52.5317,13.4115,179
Französische Friedrichstadtkirche,52.5144,13.3919,172
Weiße Kreuze,52.5196,13.3768,171
Musikinstrumenten-Museum Berlin,52.5103,13.3709,159
Literaturhaus Berlin,52.5021,13.3267,158
Maison de France,52.5023,13.3249,152
Quasimodo (Musikclub),52.5059,13.3291,145
ULAP,52.5231,13.3651,138
Münzkabinett Berlin,52.5219,13.3947,137
Tommy-Weisbecker-Haus,52.5014,13.3892,123
