page_title,longitude,latitude,hitcount
Berliner Mauer,52.4957,13.4507,27263
Reichstagsgebäude,52.5186,13.3761,7319
Liste der Bezirke und Ortsteile Berlins,52.5167,13.3667,6060
Auswärtiges Amt,52.5147,13.3994,3799
Checkpoint Charlie,52.5074,13.3904,3585
Europa-Union Deutschland,52.5265,13.3997,3237
Kaiser-Wilhelm-Gedächtniskirche,52.5047,13.3353,3129
Bundesministerium des Innern,52.5236,13.3476,2267
Bundesministerium für Wirtschaft und Energie,52.5295,13.3737,1774
Schloss Bellevue,52.5175,13.3533,1765
Bundesministerium für Arbeit und Soziales,52.5131,13.3831,1747
Groß-Berlin,52.5171,13.408,1558
Rotes Rathaus,52.5186,13.4083,1345
Kunsthaus Tacheles,52.5258,13.3888,1068
Preußisches Herrenhaus,52.5092,13.3814,965
Deutsches Institut für Wirtschaftsforschung,52.5122,13.3887,793
Bernauer Straße,52.535,13.3897,698
Sozio-oekonomisches Panel,52.5122,13.3887,681
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Paul-Löbe-Haus,52.5203,13.3747,588
Kaiser-Wilhelm-Nationaldenkmal,52.5164,13.4,582
Stiftung Wissenschaft und Politik,52.4981,13.3215,554
Fahne der Einheit,52.5186,13.3761,535
Schuldenuhr,52.5144,13.3872,531
Detlev-Rohwedder-Haus,52.5087,13.3841,515
Deutsche Gesellschaft für Auswärtige Politik,52.5087,13.3463,475
Altes Stadthaus (Berlin),52.5164,13.4108,442
Marx-Engels-Forum,52.5183,13.4042,428
Köpi,52.5078,13.4261,422
Haus am Werderschen Markt,52.514,13.3997,418
Prinz-Albrecht-Palais,52.5061,13.3856,394
Lenné-Dreieck,52.5108,13.375,384
Ständige Vertretungen der Bundesrepublik Deutschland und der Deutschen Demokratischen Republik,52.5269,13.3861,378
Europäische Bewegung Deutschland,52.5266,13.3998,362
Marie-Elisabeth-Lüders-Haus,52.5203,13.3778,359
Mykonos-Attentat,52.4948,13.3341,327
Georg-von-Rauch-Haus,52.5042,13.4242,326
Karl-Liebknecht-Haus,52.5261,13.4131,326
Lette-Verein,52.496,13.3412,314
Bismarck-Nationaldenkmal,52.5158,13.3497,312
Grenzübergang Bornholmer Straße,52.5547,13.3986,309
Strausberger Platz,52.5186,13.4283,299
Wissenschaftszentrum Berlin für Sozialforschung,52.5064,13.3658,299
Denkmal für die im Nationalsozialismus verfolgten Homosexuellen,52.5133,13.3763,295
Konrad-Adenauer-Haus (Berlin),52.5064,13.3514,287
Reichsministerium für Ernährung und Landwirtschaft,52.5153,13.3811,278
Willy-Brandt-Haus,52.5,13.3883,243
Gesellschaft zur Verfolgung von Urheberrechtsverletzungen,52.524,13.3281,226
Gebäude der Jugoslawischen Gesandtschaft in Berlin,52.5083,13.3648,215
Palais Arnim,52.515,13.3792,202
Viktoria-Luise-Platz,52.4957,13.3419,202
Polnische Botschaft in Berlin,52.5169,13.3823,193
Invalidenhaus Berlin,52.6578,13.2842,172
Eimer (Berlin),52.5286,13.4022,161
Geheimes Zivilkabinett,52.5137,13.3824,160
