filters	page_title	page_id	page_namespace
"Geotags (52.4012,13.0158)
Page Hits (count: 1082)"	Neues Palais	194222	0
"Geotags (52.4011,13.0119)
Page Hits (count: 920)"	Universität Potsdam	84909	0
"Geotags (52.3789,13.0636)
Page Hits (count: 588)"	Einsteinturm	157483	0
"Geotags (52.3864,13.0257)
Page Hits (count: 471)"	Militärgeschichtliches Forschungsamt	561842	0
"Geotags (52.4126,13.0509)
Page Hits (count: 290)"	Fachhochschule Potsdam	220501	0
"Geotags (52.3864,13.0257)
Page Hits (count: 275)"	Zentrum für Militärgeschichte und Sozialwissenschaften der Bundeswehr	7807394	0
"Geotags (52.3806,13.0643)
Page Hits (count: 266)"	Potsdam-Institut für Klimafolgenforschung	1184391	0
"Geotags (52.3826,13.0644)
Page Hits (count: 183)"	Deutsches GeoForschungsZentrum	80860	0
"Geotags (52.4011,13.0119)
Page Hits (count: 141)"	Abraham-Geiger-Kolleg	68390	0
"Geotags (52.4039,13.0593)
Page Hits (count: 136)"	Helmholtz-Gymnasium Potsdam	2810386	0
"Geotags (52.396,13.0581)
Page Hits (count: 123)"	Zentrum für Zeithistorische Forschung	3345298	0
"Geotags (52.3966,13.0573)
Page Hits (count: 115)"	Moses Mendelssohn Zentrum für europäisch-jüdische Studien	1912193	0
"Geotags (52.4061,13.0734)
Page Hits (count: 112)"	Institute for Advanced Sustainability Studies	4200067	0
"Geotags (52.3819,13.0206)
Page Hits (count: 109)"	Sportschule Potsdam „Friedrich Ludwig Jahn“	5051698	0
"Geotags (52.407,13.0541)
Page Hits (count: 105)"	MSB Medical School Berlin	7394206	0
"Geotags (52.382,13.0322)
Page Hits (count: 85)"	Evangelisches Gymnasium Hermannswerder	1777353	0
"Geotags (52.4085,12.973)
Page Hits (count: 80)"	Universitätsbibliothek Potsdam	4138128	0
"Geotags (52.4011,13.0119)
Page Hits (count: 53)"	Potsdam Centrum für Politik und Management	6983360	0
"Geotags (52.3889,13.0133)
Page Hits (count: 50)"	Montessori-Oberschule Potsdam	1489862	0
"Geotags (52.4072,13.0518)
Page Hits (count: 32)"	Fachschule für Foto- und Medientechnik	5876401	0
"Geotags (52.4143,13.0467)
Page Hits (count: 15)"	Bibliothek der Fachhochschule Potsdam	7734354	0
"Geotags (52.3958,13.0579)
Page Hits (count: 13)"	Königliche Ingenieurakademie (Potsdam)	7268260	0
