page_title,longitude,latitude,hitcount
Die Bremer Stadtmusikanten,53.0762,8.80753,3869
Rolandmühle,53.0993,8.77314,1314
ÖVB-Arena,53.0867,8.81667,682
Hochschule für Künste Bremen,53.0981,8.7675,574
Kunsthalle Bremen,53.0728,8.81361,421
Pier 2,53.1081,8.75102,252
Helenenstraße,53.0722,8.82639,199
Die Glocke (Bremen),53.075,8.80944,191
Lila Eule,53.0724,8.8228,137
Kulturzentrum Schlachthof (Bremen),53.0883,8.81,121
City 46,53.0802,8.81014,120
Theater Madame Lothár,53.0729,8.81097,101
Institut für niederdeutsche Sprache,53.0726,8.81023,100
Bremer Stadttheater (1843),53.0767,8.81306,65
Neptunbrunnen (Bremen),53.0761,8.80899,63
Staatsarchiv Bremen,53.077,8.81611,61
Blaumeier-Atelier,53.1042,8.78387,52
Cinema im Ostertor,53.0728,8.82278,49
Bremer Rundfunkmuseum,53.0884,8.80657,40
Schwankhalle,53.0656,8.80639,35
Spielbank Bremen,53.0773,8.80117,35
Kulturzentrum Lagerhaus,53.0721,8.82231,28
Kulturmeile (Bremen),53.0729,8.81447,26
Tresekammer (Bremen),53.0766,8.80736,20
