page_title,longitude,latitude,hitcount
Radio Bremen,53.0804,8.79562,731
OHB,53.1003,8.85694,401
Schütting (Bremen),53.0756,8.80667,321
Bremer Landesbank,53.0765,8.80866,268
Johann Jacobs,53.0936,8.85981,227
Bremer Baumwollbörse,53.0744,8.80722,205
Deutsche Schiffsbank,53.0768,8.81069,196
Bremer Bank,53.0759,8.80967,131
Deutsche Bank am Domshof,53.0768,8.80914,95
Siemens-Hochhaus (Bremen),53.0801,8.81239,61
Hochschule für internationale Wirtschaft und Logistik,53.1031,8.85946,58
Amerikanisches Generalkonsulat (Bremen),53.0765,8.81569,54
Der Rufer (Bremen),53.0796,8.79554,48
Spielbank Bremen,53.0773,8.80117,35
