filters	page_title	page_id	page_namespace
"Geotags (53.0804,8.79562)
Page Hits (count: 683)"	Radio Bremen	18920	0
"Geotags (53.1003,8.85694)
Page Hits (count: 369)"	OHB	1647419	0
"Geotags (53.0756,8.80667)
Page Hits (count: 281)"	Schütting (Bremen)	179248	0
"Geotags (53.0765,8.80866)
Page Hits (count: 232)"	Bremer Landesbank	1676086	0
"Geotags (53.0936,8.85981)
Page Hits (count: 210)"	Johann Jacobs	46321	0
"Geotags (53.0744,8.80722)
Page Hits (count: 189)"	Bremer Baumwollbörse	1954978	0
"Geotags (53.0768,8.81069)
Page Hits (count: 172)"	Deutsche Schiffsbank	4268485	0
"Geotags (53.0759,8.80967)
Page Hits (count: 120)"	Bremer Bank	2901646	0
"Geotags (53.0768,8.80914)
Page Hits (count: 88)"	Deutsche Bank am Domshof	7732549	0
"Geotags (53.0801,8.81239)
Page Hits (count: 55)"	Siemens-Hochhaus (Bremen)	6771560	0
"Geotags (53.1031,8.85946)
Page Hits (count: 52)"	Hochschule für internationale Wirtschaft und Logistik	4758188	0
"Geotags (53.0765,8.81569)
Page Hits (count: 45)"	Amerikanisches Generalkonsulat (Bremen)	3275370	0
"Geotags (53.0796,8.79554)
Page Hits (count: 43)"	Der Rufer (Bremen)	4184531	0
"Geotags (53.0773,8.80117)
Page Hits (count: 31)"	Spielbank Bremen	7461122	0
