page_title,longitude,latitude,hitcount
Kloster Blankenburg,53.1519,8.28645,675
Schloss Oldenburg,53.1378,8.21667,466
Oldenburgisches Staatstheater,53.1392,8.21,333
Weser-Ems-Halle,53.1475,8.22778,185
Kramermarkt Oldenburg,53.1467,8.23,132
Niedersächsisches Landesmuseum für Kunst und Kulturgeschichte,53.1375,8.21639,124
Horst-Janssen-Museum,53.1444,8.21472,96
Landesmuseum für Natur und Mensch,53.1337,8.21949,70
Augusteum (Oldenburg),53.1362,8.21659,65
Wandbild des Grafen Anton Günther,53.1416,8.21346,56
Niederdeutscher Bühnenbund,53.1423,8.19403,44
Stadtmuseum Oldenburg,53.1445,8.2147,40
Prinzenpalais (Oldenburg),53.1364,8.21778,36
