page_title,longitude,latitude,hitcount
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Niedersächsisches Landesmuseum für Kunst und Kulturgeschichte,53.1375,8.21639,124
Horst-Janssen-Museum,53.1444,8.21472,96
Landesbibliothek Oldenburg,53.1469,8.215,85
Landesmuseum für Natur und Mensch,53.1337,8.21949,70
Universitätsbibliothek Oldenburg,53.1473,8.17902,63
Helene-Lange-Schule (Oldenburg),53.1308,8.20248,57
Bundestechnologiezentrum für Elektro- und Informationstechnik,53.1497,8.23278,49
Stadtmuseum Oldenburg,53.1445,8.2147,40
Berufsakademie für IT und Wirtschaft Oldenburg,53.1489,8.2,33
Studentenwerk Oldenburg,53.1467,8.1798,31
