filters	page_title	page_id	page_namespace
"Geotags (50.8518,6.078)
Page Hits (count: 806)"	Liste öffentlicher Bücherschränke	4309514	0
"Geotags (51.9637,7.61306)
Page Hits (count: 481)"	Fürstbischöfliches Schloss Münster	282341	0
"Geotags (51.9553,7.65972)
Page Hits (count: 150)"	Institut der Feuerwehr Nordrhein-Westfalen	3502653	0
"Geotags (51.96,7.61722)
Page Hits (count: 111)"	Gymnasium Paulinum Münster	1085922	0
"Geotags (51.9628,7.62083)
Page Hits (count: 108)"	Universitäts- und Landesbibliothek Münster	3434710	0
"Geotags (51.9631,7.62986)
Page Hits (count: 90)"	Haus der Niederlande	1043600	0
"Geotags (51.9612,7.62511)
Page Hits (count: 81)"	Collegium Borromaeum Münster	3928315	0
"Geotags (51.9647,7.62208)
Page Hits (count: 77)"	Diözesanbibliothek Münster	1894217	0
"Geotags (51.9631,7.63056)
Page Hits (count: 77)"	Stadtbücherei Münster	3590148	0
"Geotags (51.9504,7.60769)
Page Hits (count: 65)"	Pädagogische Hochschule Westfalen-Lippe	4184402	0
"Geotags (51.9672,7.6313)
Page Hits (count: 62)"	Adolph-Kolping-Berufskolleg	7008313	0
"Geotags (51.9372,7.59361)
Page Hits (count: 60)"	Friedensschule Münster	5486572	0
"Geotags (51.9561,7.60194)
Page Hits (count: 54)"	Katholische Akademie Franz-Hitze-Haus	860404	0
"Geotags (51.9658,7.62906)
Page Hits (count: 52)"	Hildegardisschule Münster	6849558	0
"Geotags (51.9612,7.62344)
Page Hits (count: 51)"	Bibelmuseum Münster	1578006	0
"Geotags (51.9629,7.62869)
Page Hits (count: 51)"	Pascal-Gymnasium Münster	4973889	0
"Geotags (51.9909,7.61569)
Page Hits (count: 48)"	Lettisches Gymnasium Münster	1733931	0
"Geotags (51.9571,7.63311)
Page Hits (count: 32)"	Schwarze Witwe (Archiv)	6006645	0
"Geotags (51.9619,7.59306)
Page Hits (count: 30)"	Overberg-Kolleg	2400844	0
"Geotags (51.9656,7.62333)
Page Hits (count: 6)"	Observantenkirche (Münster)	5531074	0
