page_title,longitude,latitude,hitcount
Liste öffentlicher Bücherschränke,50.8518,6.078,1784
Century Media,51.5325,7.44625,426
Stadt- und Landesbibliothek Dortmund,51.5165,7.46093,172
Domicil,51.5156,7.46376,152
Harenberg City-Center,51.5163,7.45589,144
Hoesch-Museum,51.5297,7.48306,133
Deutsches Fußballmuseum,51.5163,7.45856,102
Deutsches Kochbuchmuseum,51.4924,7.48028,71
Fritz-Henßler-Haus,51.5174,7.47042,70
Schauburg (Dortmund),51.5172,7.465,70
Schlackenbad,51.4858,7.19037,58
Künstlerhaus Dortmund,51.5181,7.44583,50
Langer August,51.5277,7.465,47
Mondo mio!,51.4969,7.472,43
