page_title,latitude,longitude,hitcount
DELTA,51.4923,7.40814,5385
Liste öffentlicher Bücherschränke,50.8518,6.078,1784
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
International School of Management,51.4891,7.406,348
Halden im Ruhrgebiet,51.5412,6.9978,315
Stadt- und Landesbibliothek Dortmund,51.5165,7.46093,172
Fraunhofer-Institut für Materialfluss und Logistik,51.4937,7.40761,157
Museum für Naturkunde (Dortmund),51.5358,7.45778,128
Sozialforschungsstelle Dortmund,51.549,7.46441,119
Max-Planck-Institut für molekulare Physiologie,51.4897,7.40981,111
Universitätsbibliothek Dortmund,51.4928,7.41691,97
Handwerkskammer Dortmund,51.5158,7.46733,87
Adler Apotheke (Dortmund),51.514,7.46672,86
Leibniz-Institut für Analytische Wissenschaften,51.4906,7.46251,74
Werkkunstschule Dortmund,51.5109,7.43354,69
WAM – Die Medienakademie,51.5323,7.47379,62
Institut für Zeitungsforschung,51.5165,7.45982,52
Westfälisches Schulmuseum,51.5106,7.38361,51
Sozialforschungsstelle an der Universität Münster,51.549,7.46441,44
Mondo mio!,51.4969,7.472,43
Fachhochschulbibliothek Dortmund,51.495,7.41916,39
IT-Center Dortmund,51.4891,7.406,34
Volkshochschule Dortmund,51.5172,7.46339,34
Orchesterzentrum NRW,51.517,7.46572,31
Volkssternwarte Dortmund,51.4939,7.47606,23
