page_title,latitude,longitude,hitcount
Psychotherapeutisches Institut Bergerhausen,51.454,6.71578,557
Liste der Hochbunker der Bauart Winkel,52.3926,12.4104,312
Cubus Kunsthalle,51.43,6.76833,176
Duisburger Institut für Sprach- und Sozialforschung,51.4383,6.77239,131
Liste von Stauanlagen der Ruhr,51.4442,6.75556,124
Atlantis Kindermuseum,51.4403,6.77028,116
Haniel Museum,51.4513,6.73325,107
Filmforum Duisburg,51.4305,6.7614,79
"Minden (Schiff, 1882)",51.4574,6.73144,68
Die Säule,51.4306,6.76056,67
Atlas Film + Medien,51.4347,6.80026,62
Radiomuseum Duisburg,51.4526,6.73804,40
