filters	page_title	page_id	page_namespace
"Geotags (51.4525,6.76)
Page Hits (count: 813)"	Duisburg-Ruhrorter Häfen	2215071	0
"Geotags (51.454,6.71578)
Page Hits (count: 509)"	Psychotherapeutisches Institut Bergerhausen	7425537	0
"Geotags (51.4291,6.75495)
Page Hits (count: 270)"	Duisburger Verkehrsgesellschaft	171045	0
"Geotags (51.4411,6.775)
Page Hits (count: 237)"	Museum Küppersmühle für Moderne Kunst	1012011	0
"Geotags (51.4321,6.76885)
Page Hits (count: 178)"	Forum Duisburg	3245601	0
"Geotags (51.4337,6.77266)
Page Hits (count: 103)"	Spielbank Duisburg	2306624	0
"Geotags (51.4597,6.73057)
Page Hits (count: 98)"	Kraftwerk Hermann Wenzel	5612994	0
"Geotags (51.4069,6.7225)
Page Hits (count: 85)"	Margarethensiedlung	1087530	0
"Geotags (51.4423,6.77325)
Page Hits (count: 74)"	TanQuid	6221156	0
"Geotags (51.4335,6.76243)
Page Hits (count: 49)"	Königsgalerie Duisburg	7855425	0
"Geotags (51.4402,6.73596)
Page Hits (count: 45)"	Fina-Raffinerie Duisburg	5989687	0
"Geotags (51.4553,6.71779)
Page Hits (count: 40)"	Schulschiff Rhein	5843355	0
"Geotags (51.4161,6.78143)
Page Hits (count: 29)"	Karl Lehr (Oberbürgermeister)	276483	0
"Geotags (51.4011,6.72058)
Page Hits (count: 19)"	Verwaltungsgebäude Krupp-Industrietechnik Duisburg	8006901	0
