filters	page_title	page_id	page_namespace
"Geotags (50.7214,7.06007)
Page Hits (count: 2699)"	Bundesprüfstelle für jugendgefährdende Medien	15463	0
"Geotags (50.707,7.13858)
Page Hits (count: 1995)"	Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit	28994	0
"Geotags (50.7034,7.13917)
Page Hits (count: 1636)"	Bundesministerium für Bildung und Forschung	29000	0
"Geotags (50.7194,7.11929)
Page Hits (count: 1478)"	Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung	29007	0
"Geotags (50.7277,7.10929)
Page Hits (count: 1458)"	Bundeszentrale für politische Bildung	140469	0
"Geotags (50.7225,7.11664)
Page Hits (count: 1282)"	Bundeskartellamt	141056	0
"Geotags (50.7196,7.06146)
Page Hits (count: 1085)"	Bundesministerium für Ernährung und Landwirtschaft	1065463	0
"Geotags (50.6858,7.15221)
Page Hits (count: 444)"	Liste der diplomatischen Vertretungen in Bonn	6506184	0
"Geotags (50.7301,7.10936)
Page Hits (count: 301)"	Institut zur Zukunft der Arbeit	980555	0
"Geotags (50.7317,7.09381)
Page Hits (count: 269)"	Deutsche UNESCO-Kommission	1850122	0
"Geotags (49.35,8.15)
Page Hits (count: 261)"	Liste der kreisfreien Städte in Deutschland	30223	0
"Geotags (50.7569,7.10056)
Page Hits (count: 224)"	Friedrich-Ebert-Brücke (Bonn)	1215054	0
"Geotags (50.7181,7.12722)
Page Hits (count: 199)"	UN-Campus	1604229	0
"Geotags (50.7381,7.10917)
Page Hits (count: 198)"	Kennedybrücke (Bonn)	483063	0
"Geotags (50.7083,7.13)
Page Hits (count: 186)"	Konrad-Adenauer-Haus (Bonn)	3032418	0
"Geotags (50.7175,7.14333)
Page Hits (count: 165)"	Konrad-Adenauer-Brücke (Bonn)	1204484	0
"Geotags (50.7407,7.09226)
Page Hits (count: 135)"	Frauenmuseum (Bonn)	3553054	0
"Geotags (50.7101,7.12667)
Page Hits (count: 118)"	Erich-Ollenhauer-Haus	1420945	0
"Geotags (50.7021,7.13483)
Page Hits (count: 87)"	Bibliothek der Friedrich-Ebert-Stiftung Bonn	1355136	0
"Geotags (50.717,7.1265)
Page Hits (count: 77)"	Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern	718893	0
"Geotags (50.7025,7.1348)
Page Hits (count: 75)"	Archiv der sozialen Demokratie	262127	0
"Geotags (50.7193,7.11917)
Page Hits (count: 64)"	Konrad-Adenauer-Denkmal (Bonn)	7515779	0
"Geotags (50.735,7.09464)
Page Hits (count: 39)"	Haus der Krebs-Selbsthilfe	7874636	0
"Geotags (50.7162,7.10997)
Page Hits (count: 39)"	Landesvertretung der Freien und Hansestadt Hamburg (Bonn)	3075650	0
"Geotags (50.717,7.12642)
Page Hits (count: 37)"	Kurt-Schumacher-Straße 10 (Bonn)	7548362	0
"Geotags (50.7165,7.12012)
Page Hits (count: 36)"	Thomas-Dehler-Haus (Bonn)	1978339	0
"Geotags (50.7162,7.12675)
Page Hits (count: 20)"	Heinrich-Brüning-Straße 18 (Bonn)	7652881	0
"Geotags (50.7243,7.11088)
Page Hits (count: 20)"	Joachimstraße 6/8 (Bonn)	7426161	0
"Geotags (50.7242,7.11131)
Page Hits (count: 20)"	Joachimstraße 7 (Bonn)	7656721	0
"Geotags (50.7022,7.13484)
Page Hits (count: HTTPConnectionPool(host='stats.grok.se', port=80): Pool is closed.)"	Friedrich-Ebert-Stiftung	179939	0
