page_title,latitude,longitude,hitcount
"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit",50.707,7.13858,1995
Bundesministerium für Bildung und Forschung,50.7034,7.13917,1636
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,50.7194,7.11929,1478
Bundeszentrale für politische Bildung,50.7277,7.10929,1458
Bundeskartellamt,50.7225,7.11664,1282
Friedrich-Ebert-Stiftung,50.7022,7.13484,1259
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Bund der Vertriebenen,50.6958,7.1429,482
Liste der diplomatischen Vertretungen in Bonn,50.6858,7.15221,444
Institut zur Zukunft der Arbeit,50.7301,7.10936,301
Deutsche UNESCO-Kommission,50.7317,7.09381,269
UN-Campus,50.7181,7.12722,199
Kennedybrücke (Bonn),50.7381,7.10917,198
Konrad-Adenauer-Haus (Bonn),50.7083,7.13,186
Konrad-Adenauer-Brücke (Bonn),50.7175,7.14333,165
Frauenmuseum (Bonn),50.7407,7.09226,135
Erich-Ollenhauer-Haus,50.7101,7.12667,118
Bibliothek der Friedrich-Ebert-Stiftung Bonn,50.7021,7.13483,87
Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern,50.717,7.1265,77
Archiv der sozialen Demokratie,50.7025,7.1348,75
Konrad-Adenauer-Denkmal (Bonn),50.7193,7.11917,64
Arbeitnehmer-Zentrum Königswinter,50.6859,7.18292,40
Haus der Krebs-Selbsthilfe,50.735,7.09464,39
Landesvertretung der Freien und Hansestadt Hamburg (Bonn),50.7162,7.10997,39
Kurt-Schumacher-Straße 10 (Bonn),50.717,7.12642,37
Thomas-Dehler-Haus (Bonn),50.7165,7.12012,36
Heinrich-Brüning-Straße 18 (Bonn),50.7162,7.12675,20
Joachimstraße 6/8 (Bonn),50.7243,7.11088,20
Joachimstraße 7 (Bonn),50.7242,7.11131,20
