page_title,longitude,latitude,hitcount
Haribo,50.7096,7.11341,5909
Postbank,50.7093,7.12744,2983
Bundesnetzagentur,50.7149,7.1242,2177
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,50.7194,7.11929,1478
Bundeskartellamt,50.7225,7.11664,1282
Friedrich-Ebert-Stiftung,50.7022,7.13484,1259
Bundeshaus (Bonn),50.7195,7.12426,1070
Phoenix Reisen,50.7434,7.10407,540
World Conference Center Bonn,50.7194,7.12417,404
Institut zur Zukunft der Arbeit,50.7301,7.10936,301
Katholische Nachrichten-Agentur,50.716,7.126,153
Hochschule der Sparkassen-Finanzgruppe,50.7207,7.11272,133
Haribo-Center,50.7094,7.11328,124
High-Tech Gründerfonds,50.7039,7.15111,96
Bibliothek der Friedrich-Ebert-Stiftung Bonn,50.7021,7.13483,87
Action Press (Holding),50.7133,7.12998,83
Archiv der sozialen Demokratie,50.7025,7.1348,75
PB Factoring,50.7093,7.12744,42
Rheinisches Malermuseum,50.7357,7.09396,26
