page_title,longitude,latitude,hitcount
Deutsches Eck,50.3642,7.60564,2353
Liste ehemaliger Bundeswehr-Liegenschaften,54.3175,9.635,2108
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Rhein-Zeitung,50.3911,7.57972,559
Feste Kaiser Franz,50.3706,7.59167,197
Kaiserin-Augusta-Denkmal (Koblenz),50.3462,7.59583,165
Fort Großfürst Konstantin,50.3506,7.58611,157
Feste Kaiser Alexander,50.3478,7.58,154
Kurt-Schumacher-Brücke (Koblenz),50.3592,7.56309,80
Peter-Altmeier-Denkmal (Koblenz),50.363,7.60156,74
Kaiser-Friedrich-Turm (Vallendar),50.3933,7.62233,48
Erbgroßherzog-Friedrich-Kaserne (Koblenz),50.3497,7.58417,46
Luisenturm (Koblenz),50.3571,7.61234,29
Napoleonstein (Koblenz),50.3525,7.57722,27
Denkmal für Kaiser Wilhelm I. und Kaiserin Augusta,50.344,7.59603,18
