filters	page_title	page_id	page_namespace
"Geotags (50.3636,7.55917)
Page Hits (count: 884)"	Universität Koblenz-Landau	41623	0
"Geotags (50.336,7.56957)
Page Hits (count: 576)"	Hochschule Koblenz	3838515	0
"Geotags (50.3381,7.61903)
Page Hits (count: 240)"	Zentrum Innere Führung	309962	0
"Geotags (50.3595,7.5993)
Page Hits (count: 144)"	Görres-Gymnasium (Koblenz)	1274259	0
"Geotags (50.354,7.59599)
Page Hits (count: 132)"	Max-von-Laue-Gymnasium	1937711	0
"Geotags (50.355,7.59568)
Page Hits (count: 127)"	Eichendorff-Gymnasium (Koblenz)	2716397	0
"Geotags (50.3588,7.59622)
Page Hits (count: 104)"	Stadtbibliothek Koblenz	858008	0
"Geotags (50.3525,7.61472)
Page Hits (count: 79)"	Feuerwehr- und Katastrophenschutzschule Rheinland-Pfalz	6767468	0
"Geotags (50.3492,7.58889)
Page Hits (count: 72)"	Rheinische Landesbibliothek Koblenz	312500	0
"Geotags (50.3491,7.5961)
Page Hits (count: 63)"	Dr. Zimmermannsche Wirtschaftsschule	6127982	0
