page_title,longitude,latitude,hitcount
Quadratestadt,49.4885,8.46711,1876
Nationaltheater Mannheim,49.4878,8.47806,863
Kunsthalle Mannheim,49.4827,8.47532,527
Mannheimer Rosengarten,49.4847,8.47722,436
Institut für Deutsche Sprache,49.4882,8.47199,304
"Mainz (Schiff, 1929)",49.4947,8.469,284
Berufsgenossenschaft Nahrungsmittel und Gastgewerbe,49.4745,8.49168,247
Wilhelm-Hack-Museum,49.4801,8.44407,222
Alte Feuerwache (Mannheim),49.4956,8.47389,205
Pfalzbau,49.4794,8.44601,181
Planetarium Mannheim,49.4774,8.49301,177
Capitol (Mannheim),49.4975,8.47278,140
Walzmühle,49.4792,8.45361,128
Zeughaus (Mannheim),49.4879,8.46127,122
Prinzregenten-Theater,49.4893,8.43818,105
Ernst-Bloch-Zentrum,49.4787,8.45476,104
Stadtmuseum Ludwigshafen,49.4856,8.44314,65
TiG7,49.4923,8.4608,58
Ostasieninstitut der Hochschule Ludwigshafen,49.4785,8.45634,57
Rolleswasserturm,49.4908,8.43322,56
Theaterakademie Mannheim,49.4982,8.47614,49
Feierabendhaus der BASF,49.4921,8.42694,47
Stadtbibliothek Ludwigshafen,49.4809,8.44858,40
Klapsmühl’ am Rathaus,49.4891,8.4616,34
Skulpturengarten der Kunsthalle Mannheim,49.4826,8.47516,16
