page_title,latitude,longitude,hitcount
BASF,51.4781,13.8783,8931
Liste deutscher Kraftwerke,48.7171,9.36747,2757
Kesselwagenexplosion in der BASF,49.495,8.43625,477
Carl-Benz-Stadion,49.4795,8.50252,464
Friedrich-Engelhorn-Hochhaus,49.496,8.43217,386
ISOVER,49.4841,8.43685,279
Werkfeuerwehr BASF,49.4956,8.42889,269
Mannheim Business School,49.4827,8.46594,248
BASF IT Services,49.4845,8.44339,219
CropEnergies,49.4747,8.49531,159
Rheinische Creditbank,49.4867,8.46149,64
Feierabendhaus der BASF,49.4921,8.42694,47
