page_title,longitude,latitude,hitcount
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Institut für Deutsche Sprache,49.4882,8.47199,304
Bildungszentrum der Bundeswehr,49.4763,8.51156,286
Hochschule der Bundesagentur für Arbeit,49.4765,8.51527,272
Mannheim Business School,49.4827,8.46594,248
Zentralinstitut für Seelische Gesundheit,49.4923,8.46549,188
Planetarium Mannheim,49.4774,8.49301,177
Forschungsgruppe Wahlen,49.4832,8.47289,141
Bundesakademie für Wehrverwaltung und Wehrtechnik,49.4763,8.51156,128
Johann-Sebastian-Bach-Gymnasium (Mannheim-Neckarau),49.4547,8.48862,115
Theodor-Heuss-Gymnasium (Ludwigshafen),49.4781,8.42694,104
Carl-Bosch-Gymnasium,49.4831,8.44111,99
Karl-Friedrich-Gymnasium Mannheim,49.4821,8.47603,97
Mannheimer Abendakademie,49.4924,8.47123,86
Max-Planck-Gymnasium Ludwigshafen,49.4944,8.42408,83
Integrierte Gesamtschule Mannheim-Herzogenried,49.5071,8.47731,73
Geschwister-Scholl-Gymnasium (Ludwigshafen),49.4733,8.4525,68
Universitätsbibliothek Mannheim,49.4835,8.46152,58
Ostasieninstitut der Hochschule Ludwigshafen,49.4785,8.45634,57
Theaterakademie Mannheim,49.4982,8.47614,49
Curt-Engelhorn-Zentrum Archäometrie,49.4888,8.4621,35
Graduate School Rhein-Neckar,49.4734,8.42267,35
Augustiner-Chorfrauen-Stift (Mannheim),49.4847,8.46396,30
Lemle-Moses-Klaussynagoge,49.4886,8.46667,22
Skulpturengarten der Kunsthalle Mannheim,49.4826,8.47516,16
