page_title,longitude,latitude,hitcount
Bundeskriminalamt (Deutschland),50.0472,8.22778,2546
Liste ehemaliger Bundeswehr-Liegenschaften,54.3175,9.635,2108
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Liste der Ortsbezirke in Wiesbaden,50.0817,8.24111,296
Theodor-Heuss-Brücke (Mainz–Wiesbaden),50.0067,8.27694,293
Deutsche Film- und Medienbewertung (FBW),50.0375,8.23528,255
"Hessisches Ministerium für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz",50.0703,8.2495,226
Hessisches Ministerium für Soziales und Integration,50.0678,8.22667,139
Nagelsäule (Mainz),49.9991,8.27485,128
"Ministerium für Umwelt, Landwirtschaft, Ernährung, Weinbau und Forsten RLP",50.0047,8.26901,92
