filters	page_title	page_id	page_namespace
"Geotags (50.065,8.27421)
Page Hits (count: 2806)"	Linde AG	157777	0
"Geotags (50.0452,8.1928)
Page Hits (count: 1188)"	SGL Carbon	1366139	0
"Geotags (50.0141,8.24646)
Page Hits (count: 1075)"	Schott AG	623015	0
"Geotags (50.0013,8.25865)
Page Hits (count: 581)"	Mainz Hauptbahnhof	1461957	0
"Geotags (50.0027,8.2629)
Page Hits (count: 546)"	Bioland	427365	0
"Geotags (50.0536,8.24422)
Page Hits (count: 462)"	Henkell & Co. Sektkellerei	525038	0
"Geotags (50.0297,8.25417)
Page Hits (count: 323)"	Dyckerhoff (Zementhersteller)	1487095	0
"Geotags (50.0333,8.24583)
Page Hits (count: 243)"	Chemische Fabrik Kalle	1787660	0
"Geotags (50.0141,8.24646)
Page Hits (count: 218)"	Schott Solar	5656310	0
"Geotags (50.003,8.26867)
Page Hits (count: 182)"	LRP Landesbank Rheinland-Pfalz	2246892	0
"Geotags (50.0004,8.27873)
Page Hits (count: 178)"	SMS Mainz	687575	0
"Geotags (50.0678,8.22667)
Page Hits (count: 139)"	Hessisches Ministerium für Soziales und Integration	728510	0
"Geotags (50.0775,8.24583)
Page Hits (count: 126)"	Ländchesbahn	312266	0
"Geotags (50.0039,8.27539)
Page Hits (count: 113)"	Pegel Mainz	6304985	0
"Geotags (50.0058,8.26616)
Page Hits (count: 74)"	Ministerium für Wirtschaft, Klimaschutz, Energie und Landesplanung RLP	2315247	0
"Geotags (50.0297,8.24417)
Page Hits (count: 62)"	Nebeljungenstreich	2799332	0
"Geotags (50.067,8.26848)
Page Hits (count: 50)"	Hessisches Immobilienmanagement	2625406	0
"Geotags (50.004,8.25272)
Page Hits (count: 37)"	Heinrich-Egli-Haus	4224674	0
