page_title,longitude,latitude,hitcount
Liste öffentlicher Bücherschränke,50.8518,6.078,1784
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Liste der Meteoriten Deutschlands,52.0,9.1,607
Römisch-Germanisches Zentralmuseum,50.0061,8.26972,249
Stadtbibliothek Mainz,50.0085,8.26938,132
Naturhistorisches Museum (Mainz),50.0033,8.27056,131
Hessisches Landesamt für Umwelt und Geologie,50.0349,8.2429,76
Hessenkolleg Wiesbaden,50.0686,8.23861,64
Institut für Qualitätsentwicklung,50.0708,8.22658,61
Volkssternwarte Mainz,50.0038,8.27075,57
Heinrich-Egli-Haus,50.004,8.25272,37
