page_title,longitude,latitude,hitcount
Europäische Zentralbank,50.1094,8.67414,10517
Deutsche Bank,50.114,8.66934,7514
Deutsche Bundesbank,50.1339,8.65972,3150
Liste deutscher Kraftwerke,48.7171,9.36747,2757
Adlerwerke,50.101,8.641,1758
I.G.-Farben-Haus,50.125,8.6675,1613
Frankfurter Wertpapierbörse,50.1153,8.67778,1548
SEB AG,50.1167,8.68223,1114
Europaviertel (Frankfurt am Main),50.1094,8.65194,1081
Landesbank Hessen-Thüringen,50.1122,8.67194,1026
Deutsche-Bank-Hochhaus,50.1136,8.66806,933
Frankfurt School of Finance & Management,50.1096,8.69741,888
Finanz Informatik,50.1151,8.63633,866
Westendstraße 1,50.1106,8.6625,709
Deutsche Bank Privat- und Geschäftskunden,50.1152,8.64182,513
Tenovis,50.0972,8.62972,439
Museum für Kommunikation Frankfurt,50.1044,8.67528,419
Europäische Aufsichtsbehörde für das Versicherungswesen und die betriebliche Altersversorgung,50.1018,8.66513,348
Fernmeldehochhaus,50.1154,8.68056,325
AEG-Hochhaus,50.0996,8.66778,320
IBC (Frankfurt am Main),50.1144,8.6425,283
Deutsche Zentrale für Tourismus,50.1193,8.65645,268
Industriehof (Frankfurt am Main),50.1298,8.62219,238
Salzhaus (Frankfurt am Main),50.1108,8.68194,233
Landwirtschaftliche Rentenbank,50.1171,8.67871,232
Bürostadt Niederrad,50.0809,8.62826,197
City West (Frankfurt am Main),50.117,8.63616,165
Alte Börse (Frankfurt am Main),50.1113,8.68153,163
Deutsche Bank IBCF,50.112,8.67466,157
Ehemalige Oberfinanzdirektion Frankfurt am Main,50.1329,8.6816,155
Zeppelinallee,50.1259,8.65199,152
Zeppelinstein,50.1107,8.62976,137
Hauptpost Frankfurt am Main,50.1143,8.68152,108
Institut für sozial-ökologische Forschung,50.1156,8.64504,86
Honda Bank,50.1165,8.72808,71
Aufbereitungs- und Verwertungsanlage für Trümmerschutt,50.123,8.72954,68
Eisenbahnunfälle in Frankfurt (Main) Süd,50.1008,8.68983,61
Institute for Law and Finance,50.1276,8.66553,56
Bernusbau,50.1092,8.68255,20
