page_title,latitude,longitude,hitcount
Johann Wolfgang Goethe-Universität Frankfurt am Main,50.1194,8.65139,3416
Liste öffentlicher Bücherschränke,50.8518,6.078,1784
Senckenberg Naturmuseum,50.1175,8.65167,1121
Frankfurt School of Finance & Management,50.1096,8.69741,888
Zoo Frankfurt,50.1156,8.70314,635
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Fachhochschule Frankfurt am Main,50.1303,8.69249,580
Institut für Sozialforschung,50.1184,8.65385,441
Staatliche Hochschule für Bildende Künste – Städelschule,50.1022,8.675,363
Dr. Hoch’s Konservatorium,50.1102,8.69986,324
Universitätsbibliothek Johann Christian Senckenberg,50.1204,8.65311,323
Philosophisch-Theologische Hochschule Sankt Georgen,50.0985,8.712,286
Alliance Healthcare Deutschland,50.1185,8.63563,228
Deutsche Bibliothek,50.1311,8.68306,223
House of Finance,50.1269,8.665,215
Institut zur Erforschung der Judenfrage,50.1186,8.66139,186
Deutsches Institut für Internationale Pädagogische Forschung,50.1224,8.63848,171
Max-Planck-Institut für Hirnforschung,50.0935,8.65205,147
Helmholtzschule,50.1186,8.7075,128
Institut für Stadtgeschichte,50.1092,8.67806,127
Anna-Schmidt-Schule,50.119,8.67431,126
Physikalischer Verein,50.1169,8.65139,122
Experiminta,50.1154,8.6479,121
Philanthropin (Frankfurt am Main),50.1211,8.68722,116
Haus am Dom,50.1108,8.68444,99
Institut für sozial-ökologische Forschung,50.1156,8.64504,86
Volkshochschule Frankfurt am Main,50.1103,8.69888,85
Zentrum für christliche Meditation und Spiritualität des Bistums Limburg,50.1269,8.71833,73
Wollheim-Memorial,50.125,8.665,70
Charles-Hallgarten-Schule,50.1328,8.72056,66
Samson-Raphael-Hirsch-Schule,50.1147,8.7,65
Deutsche Bildung AG,50.1111,8.67625,62
Institute for Law and Finance,50.1276,8.66553,56
Volksbildungsheim Frankfurt am Main,50.1183,8.67917,51
Studentenwerk Frankfurt am Main,50.1197,8.6518,35
