page_title,latitude,longitude,hitcount
Julius-Maximilians-Universität Würzburg,49.7881,9.93528,1517
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Liste regional bedeutsamer Bäume in Unterfranken,49.8827,9.62739,127
Friedrich-Koenig-Gymnasium,49.7973,9.91232,85
Martin-von-Wagner-Museum,49.7927,9.93926,77
Fraunhofer-Institut für Silicatforschung,49.798,9.91772,60
Volkssternwarte Würzburg,49.7748,9.95839,42
Akademie Frankenwarte,49.7806,9.90631,34
Universitätsbibliothek Würzburg,49.7825,9.96806,34
Mineralogisches Museum Würzburg,49.7824,9.9702,32
