page_title,latitude,longitude,hitcount
Bamberger Reiter,49.8909,10.8828,863
Bamberger Symphoniker,49.8969,10.8792,394
Sprachvergleich anhand des Vaterunsers,0.0,0.0,336
Internationales Künstlerhaus Villa Concordia,49.8881,10.8886,208
Staatsbibliothek Bamberg,49.8916,10.8821,184
E.T.A.-Hoffmann-Theater,49.8906,10.8915,168
Sandkerwa,49.8928,10.8831,146
Konzert- und Kongresshalle Bamberg,49.8967,10.8789,114
E.T.A. Hoffmann-Gymnasium Bamberg,49.8863,10.8889,86
Bamberger Marionettentheater,49.8941,10.8811,66
Theater am Michelsberg,49.8936,10.8772,42
